,rating,id,date,views,like,title,text
0,5,dlarmsdk1***예매자,2021.05.09,조회 26,"공감 0
공감하기",,또 보고싶어요
1,5,df0***예매자,2021.04.19,조회 32,"공감 0
공감하기",최고,믿고보게됩니다 무조건 필히 바야할 공연
2,5,jesaran***예매자,2021.03.29,조회 35,"공감 0
공감하기",여성들의 이야기,여성들의 이야기가 이렇게 감각적으로 극화될 수 있다니 공연도 보고 생중계도 챙겨봤어요 기다릴게요 꼭 다시 와주시기를
3,5,Hayoon0***예매자,2021.03.29,조회 18,"공감 0
공감하기",최고,배우들도 음악도 너무 좋았어요
4,5,jhyun***예매자,2021.03.29,조회 10,"공감 0
공감하기",최고,공연 정말 좋았어요 다시 와주세요
5,4,hie***예매자,2021.03.26,조회 43,"공감 0
공감하기",시작 부터 전율,시작부터 다른 형식과 진행에 깜짝 놀랐어요 베르나르다 알바가 호불호가 강한 극이라고 들었는데 그럴것 같긴 하지만 의미 있는 작품 같아요 배우님들의 연기가 모두 후덜덜 너무 굉장했습니다 막공 전날 겨우 보게 되어서 자첫자막 했는데 기회가 된다면 다음에 꼭 또 보고 싶어요
6,4,lin022***예매자,2021.03.26,조회 18,"공감 0
공감하기",베르나르다 알바,오소연 배우님을 다시 한 번 알고 가요진짜 잘하십니다
7,5,chaj***예매자,2021.03.25,조회 23,"공감 0
공감하기",다시 보고싶어요,자꾸 생각나요부산 못 가는데다시 보고싶어지네요
8,5,soekm***예매자,2021.03.25,조회 19,"공감 0
공감하기",미친듯한 에너지,에너지 미쳤음자유와 욕망을 찾아 가자
9,5,sujs0***예매자,2021.03.23,조회 14,"공감 0
공감하기",소문난 맛집,초연때 정말 보고 싶었는데 팃팅 다 튕기고 이제서야 못사탈출했어요발구르는 소리 손뼉치는 소리 펄럭이는 치맛자락프롤로그 씬부터 갓벽합니다꿈에서 다시 만나꿈에서 다시 만나
10,4,duye1***예매자,2021.03.22,조회 15,"공감 0
공감하기",여성의 극,통쾌하고 멋있었습니다 마음도 아프고요
11,5,duye1***예매자,2021.03.22,조회 7,"공감 0
공감하기",최고였고 멋있었습니다,최고였고 멋있었습니다
12,5,muni***예매자,2021.03.22,조회 8,"공감 0
공감하기",멋있다는 말 밖에,할 말이 없어요 정말 압도되는 느낌
13,5,lue***예매자,2021.03.22,조회 7,"공감 0
공감하기",여성배우들의 힘,공연 전체에 흐르는 배우들의 힘과 매력 너무 잘 봤습니다
14,5,aozor***예매자,2021.03.22,조회 11,"공감 0
공감하기",뮤지컬 베르나르다 알바,뮤지컬 베르나르다 알바
15,4,fin***예매자,2021.03.22,조회 13,"공감 0
공감하기",묵직한 분위기,내용만으로 보자면 참 한숨이 나오는데배우들의 연기와 넘버를 보고 듣고있으면압도되는 그 느낌이 참 강렬합니다오랫동안 기억에 남는 공연이 될것 같아요
16,5,missj***예매자,2021.03.22,조회 8,"공감 0
공감하기",정말 많이 좋은 배우들을 알아갑니다,정영주 프로듀서님이 고생을 많이 하셨을 것 같아서 큰 박수를 드리고이소정 배우님 정말 대단한 베르나르다 알바를 보여주셨습니다삼연이 꼭 올라오기를 기원합니다
17,5,missj***예매자,2021.03.22,조회 7,"공감 0
공감하기",세미막이었네요,종일을 했습니다배우진이 크로스로 전캐를 볼 수 있었다면 참 좋았을텐데 많이 아쉬웠습니다
18,5,missj***예매자,2021.03.22,조회 7,"공감 0
공감하기",오소연 배우는 정말 대단했습니다,사랑해요 오소연혼을 불사르는 느낌
19,5,kimhw***예매자,2021.03.22,조회 3,"공감 0
공감하기",꼭 다시 보고 싶은 작품,저번처럼 3년은 안됩니다 2년 이내로 돌아와주세요 약속
20,5,dudwls8***예매자,2021.03.22,조회 4,"공감 0
공감하기",이진경 배우는 정말 대단합니다,이진경 배우의 춤사위에 반해갑니다정말 멋지더군요오소연은 정달 대단한 배우입니다
21,5,dudwls8***예매자,2021.03.22,조회 8,"공감 0
공감하기",막공,막공이 다가온다는 생각에 너무 슬펐습니다삼연을 꼭 올려주세요
22,5,lye1***예매자,2021.03.22,조회 3,"공감 0
공감하기",미쳤음,오소연 절규 미쳤어요 오소연 배우님 평생 춤추는극 해주세요정영주 배우님 눈물짱이에요
23,5,burn***예매자,2021.03.22,조회 5,"공감 0
공감하기",좋아요,좋아요
24,5,burn***예매자,2021.03.22,조회 4,"공감 0
공감하기",서울 막공,못 봤던 캐슷의 배우님들이 있어 보고 왔는데 막공을 함께하길 정말 잘한 것 같습니다
25,5,11060***예매자,2021.03.22,조회 4,"공감 0
공감하기",아직도 그리워요,그래도 부산공연이 있어서 참 다행입니다
26,5,dyddnj***예매자,2021.03.22,조회 7,"공감 0
공감하기",전성민 마르띠리오 먹지 깔아주세요,백연까지 해주셔야
27,5,dyddnj***예매자,2021.03.22,조회 3,"공감 0
공감하기",너무 좋았어요,또 보고싶네요
28,5,dyddnj***예매자,2021.03.22,조회 3,"공감 0
공감하기",최고의 공연,삼엿 언제 오나요
29,5,sonyj0***예매자,2021.03.22,조회 7,"공감 0
공감하기",베알 보고싶어서 울어,진짜 많이 사랑했어요 이렇게 극에 치인게 대체 얼마만인지 정말이지 너무 좋앗어요 21년 상반기를 베알과 함께 할 수 있어 행복했습니다 또 보아요
30,5,sonyj0***예매자,2021.03.22,조회 4,"공감 0
공감하기",베알 행복행복한 가족,친정을 잃었습니다 뷰산공 남아잇긴한데 정동 우리집이엇는데너무 슬퍼요
31,5,sonyj0***예매자,2021.03.22,조회 2,"공감 0
공감하기",가희아멜보고싶어죽게따,아 베알 갔냐 갓구나 잘살아라 올 때 가히아멜제발요
32,4,feeling6***예매자,2021.03.22,조회 2,"공감 0
공감하기",베르나르다 알바,잘 봤습니다
33,5,unsmil***예매자,2021.03.22,조회 4,"공감 0
공감하기",옛날 옛적 스페인이라는 가사로 시작해서,끝은 현재와도 많이 다르지 않다는 충격으로 끝나는 작품죽음으로 저항을 해도 침묵을 고수하는 권력
34,5,unsmil***예매자,2021.03.22,조회 2,"공감 0
공감하기",베르나르다 알바,내용상의 호불호를 둘째치고음악과 연출과 안무만으로도 충분한 가치가 있는 극
35,5,inpark***예매자,2021.03.22,조회 2,"공감 0
공감하기",잘봤습니다,잘 봤습니다
36,5,ism***예매자,2021.03.22,조회 2,"공감 0
공감하기",코로나,코로나만 없었으면 더 볼 수 있었을텐데
37,5,hyebok***예매자,2021.03.22,조회 3,"공감 0
공감하기",우린 행복한 가족,잘 봤습니다
