,rating,id,date,views,like,title,text
0,5,54g2bf4***예매자,2023.06.04,조회 2,"공감 0
공감하기",인생 뮤지컬,정말 인생 뮤지컬 입니다 그 어떤 뮤지컬보다 따뜻하고 친근하고장면마다 울고 웃고 신나게 즐길 수 있었어요  배우님들과 한바탕 신나게 노는 느낌이라 정말 너무 즐거웠고 힘들고 고민이 있었는데 모두 털털 털어서 날려버렸어요  뮤지컬 빨래 평생 보겠습니다 사랑해요 빨래 
1,5,saturn9***예매자,2023.06.04,조회 2,"공감 0
공감하기",유쾌하고 따뜻한,뮤지컬 보고 리뷰 남기는 거 진짜 오랜만이네요 워낙 오래되고 유명한 뮤지컬이란 걸 알고 있었고 참 예뻐요 넘버를 워낙 좋아하는지라 기대를 가득 품고 갔는데 기대 이상이었어요 웃다가 눈물이 날 정도로 유쾌하고 행복했어요 열연과 열창해주신 배우님들께 진심으로 감사합니다
2,5,ehdwls4***예매자,2023.06.04,조회 3,"공감 0
공감하기",잘봤습니다,재밌게 잘 봤어요 
3,5,sabinkim1***예매자,2023.06.02,조회 31,"공감 0
공감하기",정말 최고의 뮤지컬입니다,어린 시절부터 뮤지컬을 좋아하던 여자친구와 첫 뮤지컬이 빨래인 남자친구가 남자친구 생일을 맞이해 관람하고 왔습니다원래부터 빨래 뮤지컬 넘버를 너무 좋아했어서 잔뜩 기대하고 갔는데 기대 이상으로 너무 행복한 경험이었습니다왜 빨래 뮤지컬의 마니아층이 그렇게 두터운지 알 수 있었던 공연이었습니다 이 날의 캐스팅이 완벽했던 것인지 배우분들의 노래와 연기 유머까지 모두 너무 완벽했습니다뮤지컬이 전해주는 메세지도 감동적이라 그런지 더 기억에 남는 것 같네요 벌써 관람한지 일주일이 되었지만 아직도 매일 유튜브에서 빨래 뮤지컬 넘버를 들고 있을 정도로 여운이 길게 남는 것 같습니다앞으로 살면서 힘들 때마다 빨래를 보러 가야겠다는 생각이 들었습니다다음달에 큰 시험을 앞두고 있는데 정말 큰 힘 얻어갑니다한국 최고의 창작 뮤지컬이라는 명성에 걸맞는 공연이었습니다 배우분들과 공연 관계자분들께 이렇게 멋진 추억을 선사해주신 감사함을 전하고 싶네요 
4,5,kimjihye0***예매자,2023.06.02,조회 34,"공감 0
공감하기",인생 뮤지컬,진짜 너무 행복한 시간이었어요 위로도 많이 받았습니다 또 보고 싶어요
5,5,two0***예매자,2023.06.01,조회 33,"공감 0
공감하기",감동과 재미를 다 잡은 대박 뮤지컬,정말 명불허전이네요배우분들 너무 연기 잘하시고 너무 재미있었어요차 관람 안 할 수 없는 멋진 작품입니다
6,5,sangmib***예매자,2023.06.01,조회 29,"공감 0
공감하기",빨래,장장3시간의 긴 공연이 웃고 울고 하는 사이에 아주 빠르게 지나갔네요객석의 자리는 좀 불편했으나 조연들의 연기가 너무 감명깊고 좋았습니다
7,4,juhyu***예매자,2023.06.01,조회 27,"공감 0
공감하기",따뜻한 내용,오랜만에 따뜻한 내용의 뮤지컬 잘봤어요
8,5,juj4***예매자,2023.06.01,조회 26,"공감 0
공감하기",참 예쁜 뮤지컬,나와는 다른 사람이 나와 닮은 사람이 되어가는 과정이 참 예쁘다
9,5,irion2***예매자,2023.06.01,조회 21,"공감 0
공감하기",볼수록 좋네요,아 참 좋은 작품입니다강연정님 나영이는 정말 그냥 그 잡채저번에 봤을때 보다 감정선이 더 깊어지신거 같은
10,5,seosilverli***예매자,2023.06.01,조회 40,"공감 0
공감하기",빨래 영원히 오픈런 ,문화의 날이라 아주 저렴하게 보고왔는데 너무 잘 봤어요 워낙 유명한 극이라 이미 다 알고있어서 미루고 미루다 이제야 보게됐네요 생각보다도 현실적인 이야기이고 공감도 되고 위로도 받았습니다 빨래 최고
11,4,yangongs2***예매자,2023.06.01,조회 97,"공감 0
공감하기",공연은 좋았는데,배우분들 좋은 공연 준비하시느라 고생하셨어요다만 앞 좌석 관객이 키가 크셔서 배우들이 무대중앙에 서면 배우들이 안보여서 사실 배우들이 어떻게 연기했는지 뭘 보고왔는지 모르겠어요  앞자리 관객 뒷통수만 봄인터미션 시작하자마자 뒷자리 빈거 확인해서 하우스매니저께 말씀드리고 자리이동하고 싶다고했는데 빈자리 없다고하시고2부 시작할때도 확인해보니 뒷자리 비어있었는데 그래서 휠체어석맨뒤에있음에 의자 주시면 거기라도 앉아서 보고싶다했는데 그것도 안된다 하셔서 아쉬웠어요빈자리 휠체어석이 비어있음 유통성있게 활용할수있었으면 좋겠어요 
12,5,solmi340***예매자,2023.05.30,조회 44,"공감 0
공감하기",재미와 감동 모두 ,친구나 연인 가족 누구나 아니 사실 혼자 봐도좋을 것 같은 뮤지컬 빨래너무 공감가기도 하면서 재미와 감동 모두를 잡은 작품이었어요두세번 더 보고 싶고 추천 마구마구 하고 싶네요안본사람 없게오랫동안 롱런하는 작품이라는걸 새삼 느꼈네용  즐거운 시간이었습니다
13,5,engml4***예매자,2023.05.30,조회 40,"공감 0
공감하기",너무 재미있었습니다,음향부터 배우분들의 연기 춤까지 연기에 웃고 울수있는 밤이었습니다
14,5,rhguswj***예매자,2023.05.29,조회 61,"공감 2
공감하기",우리들의 인생을 압축해놓은 작품 뮤지컬 빨래,서울 살이 몇해인가로 시작한 질문에 각자의 사연들을 늘어놓는다 저마다의 이유로 서울에 살고 있고 힘겹게 서울 살이를 해나가는 사연이 하나 둘 나온다 주인공 나영과 솔롱고를 중심으로 주변 인물들의 서사까지 완벽하게 풀어낸 작품이었다 160분이란 시간 동안 풀어놓은 떡밥 회수도 완벽하게 성공했다공연을 보면서 몇몇 눈물 짓는 관객들이 보였다 나영이가 파주로 좌천된 후 집에 와서 결국은 울어버렸을 때 나도 같이 터졌다 그녀를 위로하는 희정 엄마와 집주인 할머니는 빨래를 하며 슬픔과 힘듦을 다 털어버리자고 노래하는데 경쾌한 음악 뒤에서 우는 나영과 나도 함께 울었다 아 사실 나도 서울에 살며 그렇게 힘겹게 잘 참고 있었구나 하고 터졌던 것 같다 사람마다 각자 상황은 다르겠지만 삭막하고 척박한 기회의 도시 서울에서 치열하게 살아가는 건 여전히 힘들다뮤지컬 빨래가 이렇게 롱런할 수 있는 건 누구나 공감할 수 있는 이야기를 끄집어 내서 인 것 같다는 생각이 들었다 쉽게 털어놓을 수 없지만 다들 먹고 사느라 힘든 이야기를 잘 풀어낸 작품이다 작품을 보며 참 우리들의 사회를 잘 반영해 놓은 것 같아서 한편으론 씁쓸하기도 했다나영은 반지하에서 옥탑방으로 올라갔다 형편이 나아진 건 전혀 없지만 함께 역경을 극복할 수 있고 사랑하는 이가 생겼다 나는 그걸 삶의 희망이라고 생각했다 그런 희망이 있어야 나영도 앞으로 꾸준히 나아갈 의지가 생기는 게 아닐까 이 시대 모든 나영이가 행복하길 바란다
15,5,dnfskrudr***예매자,2023.05.29,조회 36,"공감 0
공감하기",따뜻한 작품이에요,빨래는 언제 봐도 마음이 따뜻해져요오늘도 감사했습니다
16,5,hongb***예매자,2023.05.29,조회 39,"공감 0
공감하기",안 본 사람 없게 강추요,연기 너무 잘하셔서 1인2역 구분도 못할정도로 빠져서 봤습니다 지인들과 재관람각배우님들 열연에 코로나때 얼마나 힘드셨을지 반증되는 느낌을 받아 짠하기도 하고 진심 응원하게 됐습니다 앞으로 꽃길만 가득하길 바래요감사합니다
17,5,tmdgh***예매자,2023.05.29,조회 66,"공감 0
공감하기",16번본사람입니다 힐링이 필요할때 보세요,볼때마다 울음 포인트가 달라짐현대를 살아가는 모두에게 힐링됨넘버도 스토리도 너무 좋음
