,rating,id,date,views,like,title,text
0,5,hmi***예매자,2020.09.16,조회 17,"공감 0
공감하기",박민성 배우님의 도미,제가 웬만해서는 잘 안우는 편인데 성도미 연기를 보고 안울순 없습니다 얼른 랑가 돌아와주세요 난 당신보고 하늘에서 나들이 온 선녀인줄 알았지 이부분도 같이 돌아와야되요 제 눈물버튼
1,4,kanon***예매자,2020.09.06,조회 21,"공감 0
공감하기",재미있어요,판소리와의 조합 굳
2,5,loveej***예매자,2020.08.31,조회 8,"공감 1
공감하기",감사합니다,재 오픈하고 두번째 관람입니다무사히 다시 올려주신것에 너무 감사합니다 이제 연장만 해주시면 됩니다 
3,5,loveej***예매자,2020.08.31,조회 16,"공감 0
공감하기",좋아요,좋아요
4,5,loveej***예매자,2020.08.31,조회 18,"공감 0
공감하기",인혜배우님 사랑해요,인혜도창님 들리시나요 제 사랑이
5,5,loveej***예매자,2020.08.31,조회 11,"공감 0
공감하기",얼마 안남은 아쉬움,매회마다 이렇게 좋은데 끝이 보이니 더더욱 아쉽네요
6,5,loveej***예매자,2020.08.31,조회 12,"공감 0
공감하기",연장해주세요 ,아랑가 이대로 못보냅니다 연장해주세요 
7,5,loveej***예매자,2020.08.31,조회 19,"공감 0
공감하기",개로 이마 팍팍,박정원 개로 이마 팍팍
8,5,loveej***예매자,2020.08.31,조회 15,"공감 0
공감하기",개로님 해명하세요,해명해요 
9,5,mist***예매자,2020.08.11,조회 15,"공감 0
공감하기",국악과의 조화,이런 퓨전 뮤지컬 좋아요도창님 넘 매력적다시 보고 싶어요
10,5,good1004g***예매자,2020.08.10,조회 18,"공감 0
공감하기",다음 시즌 또 보고싶어요,공연이 중단되는 바람에 몇 번 못보고 끝난게 아쉽네요다음 시즌이 빨리 왔으면 좋겠습니다
11,5,1004g***예매자,2020.08.10,조회 20,"공감 1
공감하기",너무 좋았어요,무대의 조명과 배경들이 어우러져너무 예뻤습니다배우들의 연기와 노래도 너무 좋았는데특히 도창 너무 인상적이었고이런 창이 한국 뮤지컬에도 더 자주 불릴 수 있으면 좋을 것 같습니다
12,5,jpongpu***예매자,2020.08.10,조회 15,"공감 0
공감하기",후기,여운이 길게 남고 배우님들 노래연기 모두 좋았어요
13,4,sgp1***예매자,2020.08.05,조회 17,"공감 0
공감하기",재밌어요,극 전체를 관통하는 소재 자체에서 시기상 보기 불편한 부분들이 있었지만 이것만 잘 고쳐져서 돌아오면 좋겠다는 생각이 들 만큼 잘 봤습니다 실황  내주세요
14,5,eunhwi***예매자,2020.08.05,조회 10,"공감 0
공감하기",좋아요,아랑아랑아랑아랑 자꾸 생각나요
15,5,bisbis***예매자,2020.08.03,조회 11,"공감 1
공감하기",아랑 아랑 아랑 아랑 아랑 아랑 아랑,우리 가요 통트는 사연의 마을로
16,5,soso1***예매자,2020.08.03,조회 8,"공감 0
공감하기",아랑아랑,정말 잘보고 왔습니다
17,5,kiwis***예매자,2020.08.03,조회 14,"공감 0
공감하기",또 볼 수 있기를,너무 좋았어요
18,5,kiwis***예매자,2020.08.03,조회 14,"공감 0
공감하기",더 봤어야했는데,노래가 너무 좋아요 무대와 의상도 훌륭합니다코로나때문에 예매취소당하고 연기되다가 겨우 보기시작했는데 기간이 너무 짧았어요 가 없어서 아쉬움
19,5,nok***예매자,2020.08.03,조회 10,"공감 0
공감하기",다시 돌아왔으면,무대 구성도 넘버도 좋았는데 코로나때문에 많이 보지 못한게 너무 아쉬워요 송배우 보고싶었는데 
20,5,variety0***예매자,2020.08.03,조회 11,"공감 0
공감하기",아랑아랑,코로나때문에 별로 못봐서 너무 아쉬워요담에 또와주세요
21,5,choka***예매자,2020.08.03,조회 10,"공감 0
공감하기",좋은 뮤지컬이에요,송원근 배우의 새로운 모습을 볼 수 있었고 박민성 배우님도 역할이랑 잘 맞아서 좋았습니다 아랑은 지숙배우님과 정연 배우님 두 분으로 보았는데 두 분의 매력이 달라서 다 좋았던 것 같아요
22,5,choka***예매자,2020.08.03,조회 5,"공감 0
공감하기",좋았어요,너무 좋은 뮤지컬이에요 다음 시즌이 올라온다면 반드시 재관람하려고요
23,5,juhwa***예매자,2020.08.03,조회 4,"공감 0
공감하기",좋아요,좋아요
24,5,khjj***예매자,2020.08.03,조회 4,"공감 0
공감하기",최고,진짜 좋았어요
25,5,frais***예매자,2020.08.03,조회 3,"공감 0
공감하기",막공,막공까지 완벽했어요정말 중간에 공연 중단되었던 게 너무너무 아쉬운데곧 다시 올라오길 기다립니다
26,5,gold0***예매자,2020.08.03,조회 6,"공감 0
공감하기",정연천재,정연배우님천재만재 평생연기해주세요 그치만 아랑가 돌아오지마 2020년에 왕이 권력형성범죄 저지르는 극은 보고싶지 않아요
27,5,ilmiocu***예매자,2020.08.03,조회 3,"공감 0
공감하기",한국적 아름다움,최고의 뮤지카루
28,5,jiji0***예매자,2020.08.03,조회 3,"공감 1
공감하기",군더더기 없는 송원근 이지숙 배우의 페어막 공연,다음 시즌에도 꼭 두 배우분 같이 와주셨으면 좋겠습니다상상을 뛰어넘은 연기를 보여주셔서 감사해요
29,4,yen***예매자,2020.08.03,조회 4,"공감 0
공감하기",잘봤어요,잘봤어요 너무 좋아요 다들 아랑을 그냥 좀 냅둬라
30,4,yen***예매자,2020.08.03,조회 4,"공감 0
공감하기",잘봤어요,다음엔 꼭 길게 봤으면 좋겠습니다
