,rating,id,date,views,like,title,text
0,5,hyejung***예매자,2022.08.15,조회 5,"공감 0
공감하기",좋아요,좋아요 좋아요 좋아요
1,5,jennykid1***예매자,2022.08.14,조회 8,"공감 0
공감하기",이 시대에 꼭 필요한 공연,어쩌면 난 행복한 사람
2,5,yeomi1***예매자,2022.08.12,조회 8,"공감 0
공감하기",차미 오랜만에 봐서 좋았어요,초연 열심히 보고 휴덕하다가 다시 봤는데무대가 조금 바뀌었긴 했지만 예전에 느꼈던 감성 다시 느낄수있어서 좋았어요지친 일상에서 위로받다 가요
3,5,lody0***예매자,2022.08.09,조회 10,"공감 0
공감하기",힐링극 차미,볼 때마다 힐링받고 나오는 뮤지컬이에요
4,5,kimmin8***예매자,2022.08.08,조회 4,"공감 0
공감하기",차미,초연때 못보고 올해 돌아온다고 했을때 무조건 봐야겠다 했는데 드디어 보게 되어 너무 재밌었고 행복했습니다
5,5,smileing1***예매자,2022.08.04,조회 6,"공감 0
공감하기",두말 필요 없음 ,최곱니다
6,5,chahak0***예매자,2022.08.02,조회 2,"공감 0
공감하기",짱,차미 돌아와오슷 딥디도 주시면 정말 좋을 것 같아요 
7,5,chahak0***예매자,2022.08.02,조회 5,"공감 0
공감하기",너를 원해,너무 재미있게 잘 만든 극전하고자 하는 메시지도 확실해서 좋았어요 짱
8,5,th4***예매자,2022.08.01,조회 3,"공감 0
공감하기",재밌었다,가볍게 즐겁게 잘 봤다
9,4,fanta***예매자,2022.08.01,조회 4,"공감 0
공감하기",너무 좋았다,노래 무대 배우분들까지 뭐하나 빠지는게 없는 매력 뿜뿜 작품
10,5,cj7***예매자,2022.08.01,조회 2,"공감 0
공감하기",짱,배우들 다 너무너무 잘했어요
11,5,aini***예매자,2022.08.01,조회 4,"공감 0
공감하기",다시 돌아 와줘요,초연을 못 본 것이 한이 되어 버린
12,5,superb5***예매자,2022.08.01,조회 2,"공감 0
공감하기",최고,행복하게 힐링하고 왔어요
13,5,im0***예매자,2022.08.01,조회 3,"공감 0
공감하기",차미 최고,재미있어요
14,5,dkdka***예매자,2022.07.31,조회 4,"공감 0
공감하기",추천으로 본 공연,지인의 추천으로 본 공연이었는데 최근의 시대에 대해 생각이 많아지면서 내 자신을 돌아볼 수 있었던 것 같아서 되게 뜻 깊게 본 공연이라 아주 좋았고 배우들의 케미도 너무 좋았습니다
15,5,sy750***예매자,2022.07.30,조회 2,"공감 0
공감하기",재밌어요,배우분들 연기도 너무 잘하시고 노래도 잘하셔서 즐겁게 잘 봤습니다 2층 앞열에서 봤는데 단차가 작아서 시야에 불편함은 좀 있네요 그래도 재밌었습니다
16,5,kyuneu***예매자,2022.07.28,조회 6,"공감 0
공감하기",꿀잼 힐링 뮤지컬,재밌는 설정과 연출 속에서 배우님들의 열연이 빛나는 진짜 유잼 뮤지컬 기대 없이 자첫했다가 안지환 배우님의 고대에게 빠져서 회전 돌았습니다 너무 행복했어요
17,5,nnee***예매자,2022.07.28,조회 2,"공감 0
공감하기",너무 귀여원 힐링 뮤지컬,모든 캐릭터가 귀엽고 극 내내 재미있게 웃으면서 힐링 받았어요
18,5,lch***예매자,2022.07.28,조회 5,"공감 0
공감하기",차미 언제 돌아오죠,벌써부터 또 보고싶어요
19,5,jessica053***예매자,2022.07.28,조회 2,"공감 0
공감하기",따뜻하고 이쁜 뮤지컬, 가족과 친구와 보기 넘 좋았어요
20,5,marsh0***예매자,2022.07.28,조회 6,"공감 0
공감하기",짱뮤지컬,너무 재미있었어요 또보고싶다 이봄쏘리짱
21,5,dadal***예매자,2022.07.26,조회 5,"공감 0
공감하기",좋은 극이예요,음악도 좋고 내용도 좋고 배우님들도 잘 하시고
22,5,dadal***예매자,2022.07.26,조회 3,"공감 0
공감하기",재밌어요,초연이 비해 살짝 아쉽긴했지만 그래도 차미는 차미예요좋은 극 입니다
23,5,tkfkd0***예매자,2022.07.26,조회 6,"공감 0
공감하기",진짜 너무 재밌었어요 최고의 뮤지컬,힐링되면서 재미도 있는 최고의 뮤지컬이었습니다 하루빨리 삼연이 왔으면 좋겠어요 그리고 제발제발 오슷좀 내주세요
24,5,heun0***예매자,2022.07.26,조회 5,"공감 0
공감하기",다시 돌아오길,증말 인생에 대한 희망을 찾게해 준 고마운 작품
25,5,mnbv***예매자,2022.07.25,조회 5,"공감 0
공감하기",챠믜10084,귀염뽀쨕 챠미10084 의미있고 좋았어요
26,5,hiro***예매자,2022.07.25,조회 1,"공감 0
공감하기",언제 봐도 즐거운 극,차미 온라인 중계를 보고 매력에 빠져 직접 보러 가게 되었습니다 정말 만족하고 왔어요
27,5,angergir***예매자,2022.07.25,조회 1,"공감 0
공감하기",너무 즐거운 공연,행복한 시간이었습니다 감사합니다
28,4,flight***예매자,2022.07.25,조회 1,"공감 0
공감하기",사랑스러운 이야기,보러 올 때마다 많은 힘 받고 많이 웃고 가는 극이에요정말 사랑스러운 이야기
29,5,marsh0***예매자,2022.07.25,조회 2,"공감 0
공감하기",최고의 뮤지컬,너무 재미있었어요 또보고싶은데 이제 볼 수 없다니 삼연도 빨리 와주기를 봄차미 잘가요
30,5,jaykim6***예매자,2022.07.25,조회 2,"공감 0
공감하기",다시 와주세요,차미 너무 좋은 극입니다꼭 다시 와주세요 빨리 
31,4,nam***예매자,2022.07.25,조회 2,"공감 0
공감하기",재밌어요,이제 마지막이라니 너무 아쉬웠어요총막공이라 더 재밌었네요
32,5,jang***예매자,2022.07.25,조회 1,"공감 0
공감하기",굿굿,굿바이 차미
33,5,astrd***예매자,2022.07.25,조회 2,"공감 0
공감하기",마지막 차미,차미가 끝나버렸다 그동안 열번도 넘게 보면서 나에게 큰 힐링을 줬던 작품이다 모두 미호처럼 인생의 퍼즐을 그려갔으면 좋겠다   차미 이젠 따를래 내 마음의 소리   
34,5,noo***예매자,2022.07.25,조회 1,"공감 0
공감하기",차미,재밌게 봤습니다
35,5,pulcherri***예매자,2022.07.25,조회 1,"공감 0
공감하기",완전 재밌어요,재밌어요11
36,5,hanawesom***예매자,2022.07.25,조회 1,"공감 0
공감하기",돌아온 차미,무대가 작아져 조금 아쉬웠지만 배우들의 감정이 더 잘 전달되는 것 같아 좋은 부분도 있었어요다시만날 수 있어서 정말 행복했습니다
37,5,gkdid***예매자,2022.07.25,조회 1,"공감 0
공감하기",차미,모두들 가슴 속에 차미를 품고 기억하며 생각할게요 좋은 공연 감사했습니다
38,5,gkdid***예매자,2022.07.25,조회 1,"공감 0
공감하기",돌아와주세요,진짜 제 힐링극 어디서 보면 되나요    전캐 다 내주세요 
39,4,jena0***예매자,2022.07.25,조회 1,"공감 0
공감하기",발랄 유쾌,발랄하고 유쾌한 극이지만 그 속에서 진정한 나를 찾는 법을 알려줌
