,rating,id,date,views,like,title,text
0,5.0,qkrwng***예매자,2023.06.05,조회 0,"공감 0
공감하기",나에게 주는 생일선물,보고싶던 페어를 드디어 봤는데 오백삼만프로 만족그래서 바로 다음표 잡았네요 웃다울다 너무 재밌게 봤어요
1,5.0,1998se***예매자,2023.06.05,조회 1,"공감 0
공감하기",막연한 믿음,될거라는 막연한 믿음
2,5.0,369wjd***예매자,2023.06.05,조회 0,"공감 0
공감하기",댕로의 소중한 힐링코믹극,쿠로이 진짜 오픈런하면 안되나요댕로에 얼마없는 힐링극이자 코믹극권선징악이면서 기승전결 깔끔하고 재밌는데 감동적임 완벽
3,5.0,want***예매자,2023.06.05,조회 0,"공감 0
공감하기",완전 강추,너무 재밌어요바로 재관람 갑니당
4,5.0,rlagustjs***예매자,2023.06.05,조회 0,"공감 0
공감하기",정말 잘 만든 공연이에요,한뮤어를 휩쓴 바로 그 공연 대수의 자랑 랑의 진심이 담긴 바로 그 공연 호텔 쿠로이로 와요
5,5.0,rnrwls1***예매자,2023.06.05,조회 1,"공감 0
공감하기",또 보고싶은 공연,같은 캐스팅 사람들의 연기도 궁금해서 또 보고싶네요
6,5.0,rnrwls1***예매자,2023.06.05,조회 0,"공감 0
공감하기",재치있는 공연,볼때마다 배우들의 새로운 애드리브 너무 재밌어요
7,5.0,vrigh***예매자,2023.06.05,조회 2,"공감 0
공감하기",개웃겨요,진짜 개그코드 취향이라 울면서 웃었어요
8,5.0,dusdn3***예매자,2023.06.05,조회 2,"공감 0
공감하기",재밌어요 꼭 보세요,재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요 재밌어요 꼭 보세요
9,5.0,jzam***예매자,2023.06.05,조회 1,"공감 0
공감하기",최고에요,진짜 잼나고 좋은극이에요
