,rating,id,date,views,like,title,text
0,5,cy7***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌게 보았습니다,여러번 본 극이지만 매번 새로운 마음으로 보게되는 극이에요
1,5,sjch***예매자,2023.06.05,조회 0,"공감 0
공감하기",주꽃 짱,나의짱페어햐
2,5,sjch***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적 짱,재미잇어요
3,4,ksh***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아요,너무 잘봤어요 해적 공연이 끝나가는게 너무아쉽고 표도 이제 세미막공뿐이라니
4,5,rurur***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,재미있어요
5,5,rurur***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,여배페어 좋아용
6,5,daeerwe***예매자,2023.06.05,조회 0,"공감 0
공감하기",뮤지컬 해적 강력추천합니다,뮤지컬 해적 강력추천합니다 뮤지컬 해적 강력추천합니다 뮤지컬 해적 강력추천합니다 뮤지컬 해적 강력추천합니다
7,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",최고의 텐션,처음 보는 순간부터 아 오늘 공연은 정말 좋겠구나 하는 느낌이 왔는데 정말로 처음부터 끝까지 내내 좋았어요적당한 애드립도 잘 이어지는 감정들도 그리고 배우들의 캐릭터들도 다 너무 잘 맞아서 좋았어요이런 공연을 볼 수 있어서 행복해요
8,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아요,배우들이 채워주는 이야기가 너무 좋아요
9,5,dlw***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,해적 왜 안보세요
10,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",즐거웠어요,페어막이 빨라서 아쉽지만 정말 좋았어요
11,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",넘버가 정말 좋아요,넘버에 서사가 다 담겨 있어요
12,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",재미있어요,즐겁고 행복했습니다
13,5,pa***예매자,2023.06.05,조회 0,"공감 0
공감하기",넘버가 너무 좋았어요,휴일이라 집에만 있기 싫어서 대학로에 유명한 뮤지컬 서치 좀 해보다가 해적이 있길래 봤어요 피서안가도 될 정도로 에어컨을 빵빵하게 틀어줘서 너무 추웠네요 그렇게 추우니 제가 북극해에 있는 해적선에 타고 있는 기분이 들었습니다 그리고 나중에는 추위도 잊을 만큼 열연하는 배우님들 덕분에 몰입해서 추위가 뭔지도 잊고 집중해서 봤어요 삶이 무료하다고 생각되시면 꼭 보시길 추천드립니다
14,4,a***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌었어요,재밌었어요
15,4,pa***예매자,2023.06.05,조회 0,"공감 0
공감하기",금세기 최고 극악무도한 뮤지컬,실컷 웃다가 갑자기 해적들이 몰락하더니 울음을 못 참게 만드네요 어떻게 이럴 수 있죠 온 가족이 다 와서 봐도 될만큼 연령대가 폭넓은 뮤지컬입니다 초등학생들도 부모님도 온가족이 즐길 수 있는 해적 마지막 막공까지 꼭 보시길 추천합니다 강추
16,4,pa***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적들의 사랑이야기,해적이라고 하면 모험약탈보물 이야기가 꼭 들어가는 것 같은데 이런 이야기로 뮤지컬을 만들 수 있다니 정말 동화 같아요 김수연 정연 배우님들이 표현하는 루이스잭앤메리가 너무 훌륭했습니다 추천드려요 
17,1,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋았습니다,잘 만든 창작극
18,4,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",캐스팅변경 아쉽지만 즐겁게관람,했습니다앙
19,2,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋은 극입니다만,캐스틴변경 아쉬워오
20,4,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아오,좋있습니다
