,rating,id,date,views,like,title,text
0,5,soba0***예매자,2023.05.04,조회 1,"공감 0
공감하기",랭보 돌아와,소호야 하고 불렀다
1,5,marcelgot***예매자,2023.02.06,조회 15,"공감 0
공감하기",이때 예매했던 게 뭐더라,랭보인가실황 오슷 잘 듣고 있어요
2,5,dr1***예매자,2023.01.31,조회 10,"공감 0
공감하기",랭보 또 줘 더줘,랭보보고 싶어
3,5,delmon1***예매자,2023.01.30,조회 7,"공감 0
공감하기",다움시즌 와주세요,다음 시즌와주세요
4,5,dsk***예매자,2023.01.30,조회 6,"공감 0
공감하기",제목,랭보가지마
5,5,33an***예매자,2023.01.30,조회 10,"공감 0
공감하기",인생작,최고의 작품이에요 배우 분들 연기며 노래며 넘 좋아요
6,5,ty1***예매자,2023.01.30,조회 5,"공감 0
공감하기",재미있어요,재미있어 요감동입니다 좋은 공연입니다 추천합니다 강추합니다 강추
7,5,ljws2***예매자,2023.01.29,조회 9,"공감 0
공감하기",제일 좋아하는 소극장 뮤지컬,색깔 바뀌는 스크린도 너무 예쁘고 무대가 넘감성 넘침
8,5,ljws2***예매자,2023.01.29,조회 6,"공감 0
공감하기",사연 빨리 왔으면,벌써보고 싶어요 삼연캐슷다 데려와
9,5,ljws2***예매자,2023.01.29,조회 9,"공감 0
공감하기",아름다운 음악과,마냥 아름다울 수만은 없었던 시인들이야기
10,5,ljws2***예매자,2023.01.29,조회 6,"공감 0
공감하기",랭보보고 싶다,완벽한 음악인 간 삶에 대한 물음을 던지는 메시지
11,5,bluebird0***예매자,2023.01.27,조회 6,"공감 0
공감하기",랭보다 시 돌아와 줄 거죠,2022에 본 공연 중 손에 꼽을 만큼 재밌었던 공연이에요 넘버 하나하나가 좋고 장면 하나하나가 좋아서 시간 가는 줄도 모르고 빠져서 봤습니다 당분간 안녕이라는 게 정말 아쉬워요 다음 시즌 꼭 돌아오길 이왕이면 제맘 속 최 애페어와 함께 꼭
12,5,bluebird0***예매자,2023.01.27,조회 6,"공감 0
공감하기",랭보 함께 해서 행복했다,취한 배 넘버를 들을 때마다 지금 당장 어마어마한 모험이 눈앞에서 시작되는 것 같은 벅찬 마음이 들어서 온전히 설렘으로 눈물이 날 것만 같았어요 아쉽게도 이번 시즌 랭보는 끝났지만 작년을 랭보로 마무리하고 올해는 랭보로 시작할 수 있어서 아주 즐거웠습니다 다음에 또 돌아와서 이번보다 훨씬 즐길 수 있기를 공연을 올리느라고생하셨을 모든 분들 좋은 공연 정말 정말 감사했어요 제가 공연 보면서 행복했던 것보다 몇 배는 더 행복하시길
13,5,ghdgp***예매자,2023.01.24,조회 7,"공감 0
공감하기",박정원은 랭보다,가든랭보는 최고야
14,5,flalwns***예매자,2023.01.23,조회 5,"공감 0
공감하기",랭보오,다시 돌아와
15,5,dbzl***예매자,2023.01.23,조회 5,"공감 0
공감하기",좋아요,좋아요
16,5,kmy***예매자,2023.01.23,조회 7,"공감 0
공감하기",음악이 좋았어요,음악이 좋았어요
17,5,nm***예매자,2023.01.23,조회 6,"공감 0
공감하기",좋았어요,하너무 아쉽다
18,5,gnwlakd***예매자,2023.01.18,조회 8,"공감 0
공감하기",랭보,욱진랭보다 시보고 싶어요
19,5,aa6***예매자,2023.01.17,조회 10,"공감 0
공감하기",멋졌어요,좋았어요
20,5,heee3***예매자,2023.01.16,조회 3,"공감 0
공감하기",최고,박정원 김경수 정지우 진짜 갓 페어 그 중에서도 김경수 배우님 진짜 미쳤고 넘버도 너무 좋고 배우님 그날그날 노선도 달라서 볼 때마다 너무 재밌는 공연
21,5,js960***예매자,2023.01.16,조회 3,"공감 0
공감하기",재밌었어요,배우님들 최고
22,5,jiyoon0***예매자,2023.01.16,조회 3,"공감 0
공감하기",재밋다,재미잇어요
23,5,tlswldnj***예매자,2023.01.16,조회 4,"공감 0
공감하기",잼 있다,재밌어요
24,5,gusgp***예매자,2023.01.16,조회 5,"공감 0
공감하기",재밌어요,재밌어요
25,5,flalwns***예매자,2023.01.16,조회 3,"공감 0
공감하기",최고,정욱진 배우님 최고
26,5,92s***예매자,2023.01.16,조회 6,"공감 0
공감하기",박정원 랭보4연으로 오기기 다립니다,박정원 랭보4연으로 오기기 다립니다
27,5,gytjddms***예매자,2023.01.16,조회 3,"공감 0
공감하기",정말 좋았어요,너무 너무 좋았고 너무 잘 봤어요
28,5,frkd***예매자,2023.01.16,조회 4,"공감 0
공감하기",랭보 얼른 돌아와,너무 재미있게 봤던 작품이라 얼른 돌아왔으면 좋겠네요 배우님들의 연기와 노래에 무대까지 다 좋았습니다 어셔님의 안내 멘트도 랭보에 관련 지어 이야기해 주시고 너무 감동이었습니다 그런 의미로 랭보 언제 돌아온다고
29,5,eych***예매자,2023.01.16,조회 6,"공감 0
공감하기",김경수 베를렌드 너무 좋았습니다,랭보 김경수 배우님 막 공봤는데 너무 좋았어요 노래도 잘하시고 디테일도 좋으시고 연기 너무 최고에요 그리고 잘 생기셨 다음 시즌에도 꼭 와주시길 바랍니다
30,3,jiown0***예매자,2023.01.16,조회 6,"공감 0
공감하기",재밌어요,좋아요
31,5,marig***예매자,2023.01.16,조회 2,"공감 0
공감하기",랭보,돌아와 요인기가 너무 많아서 자리 구하기가 힘들었다
32,5,11060***예매자,2023.01.16,조회 2,"공감 0
공감하기",보고 싶다,랭보
33,5,kbemkls***예매자,2023.01.16,조회 3,"공감 0
공감하기",랭보 돌아와,빨리 다음 시즌 주세요 언제 기다려 엉엉
34,5,shia***예매자,2023.01.16,조회 3,"공감 0
공감하기",뤵보,많이 못 봐 아쉬운 뤵보다 음 시즌을 기다립니다
35,4,hgy1***예매자,2023.01.16,조회 2,"공감 0
공감하기",랭보,구하기 힘든 랭보
36,4,srdbsg***예매자,2023.01.15,조회 8,"공감 0
공감하기",이렇다 할 넘버가 더 보기,빠지는 넘버 없이 모두 주옥 같 다스토리에선 건너뛰거나 공간시간이동이 제법 있어 랭복의 생애를 기본적으로 알고 가면 도움이 될 듯하다 배우들 연기가 인상 깊었다
37,5,seongheun0***예매자,2023.01.13,조회 4,"공감 0
공감하기",한편의 시 같은 뮤지컬 랭보,처음에 뮤지컬 랭보의 감성을 크게 못 느꼈는데 보면 볼수록 그 감정이 커지면서 다시 보고 싶네요 랭보
38,5,seongheun0***예매자,2023.01.13,조회 4,"공감 0
공감하기",벌써보고 싶은 랭보,랭보 정말 잘 봤는데 언젠가 다시 돌아오겠죠기다릴게 요랭보
39,5,aki0***예매자,2023.01.13,조회 3,"공감 0
공감하기",너무 재밋어요,다음 시즌에도 꼬옥와주셨우면 좋겠어요 몇 번 못 봐서 아쉬워요
40,4,inman***예매자,2023.01.12,조회 4,"공감 0
공감하기",재밌었습니다,이번 시즌도 재밌게 봤습니다다음에 또 올라오면 또 보고 싶네요
41,5,hoya1***예매자,2023.01.11,조회 4,"공감 0
공감하기",좋았어,안녕 안녕 안녕 안녕안녕
42,5,hoya1***예매자,2023.01.11,조회 3,"공감 0
공감하기",안녕,안녕나의 랭보 세번이나 만나서 좋았다
43,5,kssa***예매자,2023.01.11,조회 3,"공감 0
공감하기",랭보,소호랭 보랑상윤베를렌느 참 재밌었구 상윤베를렌느소호랭보에게 아무런 힘을 쓰지 않아서 신선한 느낌이었어요
44,5,melissa0***예매자,2023.01.10,조회 4,"공감 0
공감하기",너무 좋아,나보여요
45,5,c1ap***예매자,2023.01.10,조회 4,"공감 0
공감하기",너무 좋은 극입니다,재밌었어요
46,5,naki***예매자,2023.01.09,조회 5,"공감 0
공감하기",추천,추천합니다
47,5,kmy***예매자,2023.01.09,조회 4,"공감 0
공감하기",멜로디가 참 좋습니다,음악이 기억에 남아요
48,5,tmdgml***예매자,2023.01.09,조회 4,"공감 0
공감하기",무대가 이쁘고 사랑스러운 극,다시 또 돌아오겠죠 돌아와야 해 랭보
49,5,wjsgkdu***예매자,2023.01.09,조회 4,"공감 0
공감하기",굿이에요,재밌었어요 다음에도 보고 싶네요 늦게 본 게 좀 아쉬웠어요 다음에도 기다릴게요
50,5,judy200***예매자,2023.01.09,조회 4,"공감 0
공감하기",재밌어용,알 수 없어 라맨날 들어요
51,5,subinme***예매자,2023.01.09,조회 8,"공감 0
공감하기",천재가 분명합니다,대천재정욱진 김경수 정지우 배우님
52,5,ssissi***예매자,2023.01.09,조회 2,"공감 0
공감하기",랭보,소호배우님 랭보너무 좋았습니다
53,5,mochimx***예매자,2023.01.09,조회 2,"공감 0
공감하기",랭보,영원 그것은 하나로 뒤섞인 태양과 바다
54,4,linda0***예매자,2023.01.09,조회 4,"공감 0
공감하기",재밌어요,막공까지 재밌었습니다
55,4,jeroa***예매자,2023.01.09,조회 5,"공감 0
공감하기",배우들 연기가 좋았습니다,극은 뭐 새롭진 않았지만 나름 괜찮았습니다
56,4,a***예매자,2023.01.09,조회 5,"공감 0
공감하기",재밌었어요,재밌었어요
