,rating,id,date,views,like,title,text
0,5,jangyu***예매자,2022.11.14,조회 8,"공감 0
공감하기",정말 좋은 공연,못 본 사람 없게 해주세요
1,5,ssh011***예매자,2022.11.12,조회 5,"공감 0
공감하기",최고,또 보고 싶어요
2,5,Sdy0***예매자,2022.11.07,조회 8,"공감 0
공감하기",별의 이야기,재미있어요
3,5,ham2***예매자,2022.11.07,조회 3,"공감 0
공감하기",재밌어용,채고
4,5,ok020***예매자,2022.11.07,조회 7,"공감 0
공감하기",한 번만 본 게 너무 아쉬운 뮤지컬,일정상 한 번만 볼 수 있었는데 넘버도 너무 좋고 스토리도 좋고 무대가 특히 정말 예뻐요 뒤에서 봐도 좋을 뮤지컬 같아용 다음에 오면 또 보려구요
5,5,abang1***예매자,2022.11.06,조회 5,"공감 0
공감하기",재밌어요,재미있어요
6,5,spring6***예매자,2022.10.31,조회 5,"공감 0
공감하기",재밌어요,언제나 좋아요 빨리 다음 공연 또 했으면 좋겠어요
7,5,guswn4***예매자,2022.10.31,조회 2,"공감 0
공감하기",시데레우스,무대가 진짜 너무 아름다워 요 행복한 관극이였어요
8,5,syj***예매자,2022.10.31,조회 2,"공감 0
공감하기",뮤지컬 시데레우스,보고 나면 항상 용기와 위로를 얻는 공연이었어요 마지막도 함께 할 수 있어서 정말 좋았어요
9,5,belle***예매자,2022.10.31,조회 1,"공감 0
공감하기",완벽했어요,그동안 너무 수고 많았습니다 덕분에 행복했어요
10,5,ias1***예매자,2022.10.31,조회 2,"공감 0
공감하기",별들의 소식을,전하려 했던 두 학자의 이야기를
11,5,jyw5***예매자,2022.10.31,조회 2,"공감 0
공감하기",기나긴 거리를 넘어 별들의 이야길 전하고,기나긴 거리를 넘어 별들의 소식을 받고 있어 그러니까 모든 사람이 볼 수 있게 꼭 사연으로 돌아와 주세요
12,5,collinsd***예매자,2022.10.31,조회 2,"공감 0
공감하기",조명이,너무 아름다워요
13,5,wbgy***예매자,2022.10.31,조회 1,"공감 0
공감하기",재밋어요,짱 재밋어요
14,5,dudtjs9***예매자,2022.10.31,조회 1,"공감 0
공감하기",아름다운 막공이었어요,너무 좋아했던 극인데 예쁘게 기억할 수 있을 것 같아 요금방 또 돌아오길
15,5,je7***예매자,2022.10.28,조회 4,"공감 0
공감하기",할 수 있지,크으럼
16,5,yewon751***예매자,2022.10.27,조회 2,"공감 0
공감하기",가지 마시데레우스,시데레우스 오랜만에 굉장히 여러 번 본 공연이었는데요 정말 재밌었습니다 시데레우스 사연기다릴게요 이창용 기세 중 박새 힘정말 짱시 데레우스 넘버도 정말 정말 좋고 무대 세트도 예쁘고 벌써 그립네요
17,5,sojin0***예매자,2022.10.27,조회 1,"공감 0
공감하기",안녕나의 별,보면 볼수록 감정이입되는 극하왜 막 공인 것인가
