,rating,id,date,views,like,title,text
0,3,rlaworud***예매자,2021.12.07,조회 35,"공감 0
공감하기",괜찮은 극,좀 더 서사와 극의 시점을 표현하는 장면이 명확했었으면 더 좋았을 극
1,5,14i***예매자,2021.12.06,조회 32,"공감 0
공감하기",이제야 눈물을 멈추고 후기를,2개월 동안 정말 많이 위로받고 왔습니다 연기 연출 노래 하나도 빠짐없이 너무 좋았고 삼연목 빠지게 기다리고 있겠습니다 이토록 보통의 벌써보고 싶네요
2,5,dobi09***예매자,2021.12.06,조회 21,"공감 0
공감하기",이토록 보통의,관극을 할 때면 은기의 시선으로 제이를 바라보게 된다 은기에게 제이는 모든 것이었는데 그것이 어긋났을 때의 마음을 감히 상상해보기도 어렵다
3,5,dobi09***예매자,2021.12.06,조회 16,"공감 0
공감하기",이토록 보통의,언제 봐도 눈물 좔좔 흘리면서 나온다
4,5,star***예매자,2021.12.06,조회 10,"공감 0
공감하기",정말 좋습니다,정말 좋습니다
5,5,star***예매자,2021.12.06,조회 7,"공감 0
공감하기",너무 좋아요,정말 재밌었어요
6,5,rlatjdtn3***예매자,2021.12.04,조회 14,"공감 0
공감하기",이토록 보통의,이야기가 생각 못한 방향으로 흘러간다
7,5,sojin0***예매자,2021.12.02,조회 10,"공감 0
공감하기",이토록 보통의,많은 생각이 들게 되는 작품 반전의 반전 슬프다
8,5,kmj041***예매자,2021.12.01,조회 17,"공감 0
공감하기",삼연 중계,이 보통 너무 그립고 보고 싶어요 제목에 써놓은 삼연 딥디 중계 빨리 주세요
9,5,mic***예매자,2021.11.29,조회 17,"공감 0
공감하기",이토록 보통의,천천히 가슴을 저며 주는 그런 공연이었어요
10,5,sypark***예매자,2021.11.29,조회 9,"공감 0
공감하기",가지 마이보통,이번 가을 초겨울을 책임져준 이 보통 감사했습니다
11,5,kimsj6***예매자,2021.11.29,조회 7,"공감 0
공감하기",정말,감동적입니다
12,4,blueberry***예매자,2021.11.29,조회 13,"공감 0
공감하기",이토록 보통의,연우제 이제이 에 너무 진심이었는데 왜 안올 거처럼
13,3,jena0***예매자,2021.11.29,조회 20,"공감 0
공감하기",영상미가 돋보인,사실 내용은 크게 공감할 수 없었지만 재연오면서 영상이 업그레이드되어 영상미가 돋보이는 작품이었습니다
14,5,esther10***예매자,2021.11.29,조회 12,"공감 0
공감하기",이토록 보통의,프랑스에서 살았던 몽글몽글한 느낌과 니스의 바다를 이렇게 아름답게 그려내주셔서 좋았습니다 정휘 최연우 강혜인 배우님 다 너무 좋았고 복제은기와 복제제이라는 스토리상의 반전이 알고 봐도 슬픈 것 같아요 남겨진 제이의 마음이 이해되기도 하고 안타깝기도 하고 여러 생각이 드는 작품이었습니다
15,3,rlaworud***예매자,2021.12.07,조회 35,"공감 0
공감하기",끝나서 아쉬워요,꿈만 같던 시간들이었는데 연우휘 정말 정말 사랑했습니다 다시 와 처음이 어떻게 살아갈지 행복했으면 좋겠다는 마음뿐이에 요 이제 저희 눈엔 안 보이지만 니스도 놀러 다니고 하면서 잘 지내겠죠
16,5,1004g***예매자,2021.11.29,조회 8,"공감 0
공감하기",끝나서 아쉬워요,조금만 더 빨리 볼 걸 더 많이 볼 걸
17,5,yooy***예매자,2021.11.29,조회 6,"공감 0
공감하기",추천합니다,재밌어요
18,5,gaedk1***예매자,2021.11.29,조회 7,"공감 0
공감하기",이 보통,진짜 은기의 숨소리가 듣고 싶다고 말하는 제이가 자꾸만 생각나고 다시 처음으로 되돌아가 새로운 인생을 살아가는 다시 와 처음이도 자꾸만 생각나고 여운이 많이 남는 작품이에요 넘버 맛집
19,5,yhnyh***예매자,2021.11.29,조회 13,"공감 0
공감하기",니스에 간 두 사람,행복했던 모습들이 계속해서 떠오르네요
20,5,orangel***예매자,2021.11.29,조회 3,"공감 0
공감하기",좋아요,지인이 좋았겠지
21,5,teng0***예매자,2021.11.29,조회 5,"공감 0
공감하기",다시 또 돌아와,보고 싶을 거야
22,5,silcor1***예매자,2021.11.29,조회 6,"공감 0
공감하기",최고의 뮤지컬,삼연도꼭 와주세요꼭이요
23,5,purehyun0***예매자,2021.11.29,조회 5,"공감 0
공감하기",재연보길 너무 잘했어요,초연 때 보고 취향이 아니여서 재연 볼까 말까 고민했거든요 근데 재연보길 너무 잘했어요 다시 보니 제이와 은기의 상황이 너무 이해가 잘 가고 바뀐 무대도 더 좋더라구요 빠르게 삼연 다시 왔으면 좋겠습니다
24,5,feellike***예매자,2021.11.29,조회 3,"공감 0
공감하기",영상이 돋보였던 뮤지컬,디테일한 배 경영상 덕에 더욱 몰입이 되었던 뮤지컬이에요 추천 드려요
25,5,vldmlgi***예매자,2021.11.29,조회 2,"공감 0
공감하기",재미있어요,너무 감동적이고 슬픈 뮤지컬
26,5,chio0***예매자,2021.11.29,조회 4,"공감 0
공감하기",엄청 울었어요 진짜로 둘의 사랑 영원하길,제발은 기야 제 이야 둘은 제발 행복하게 해주세요 아니
27,5,dkfwl0***예매자,2021.11.29,조회 2,"공감 0
공감하기",이토록 보통의,재미있어요엄청나게 울었네요 다시 보고 싶어요
28,5,dkfwl0***예매자,2021.11.29,조회 4,"공감 0
공감하기",이토록 보통의,재미있었어요은 기랑제이 처음이랑 다시 가 다 행복했으면
29,5,monoto***예매자,2021.11.29,조회 3,"공감 0
공감하기",이토록 보통의,그저 그들이 행복했으면 좋겠습니다 정말 많이 사랑했고 또 정말 많이 울었던 극이토록 보통의 다시 꼭 돌아왔으면 좋겠습니다니스에서 기다릴게요
30,5,hajoo010***예매자,2021.11.29,조회 10,"공감 0
공감하기",안녕,너무 슬펐던이 보통 또 와주세요
31,5,stary***예매자,2021.11.29,조회 5,"공감 0
공감하기",내가 사랑하는 건 누구일까,나와 시간을 함께 보낸 바로 그 사람
32,5,ustina1***예매자,2021.11.29,조회 5,"공감 0
공감하기",연우휘 장르,페어막 매진이었는데 객석이 소란스러워서 아쉬웠지만 연우휘는 연우휘 두 배우님 삼연도 장미리 찍고 그대로 돌아오세요
33,5,suhyun9***예매자,2021.11.29,조회 3,"공감 0
공감하기",추천합니다,너무 너무 좋았어요 최고에요
34,5,ustina1***예매자,2021.11.29,조회 2,"공감 0
공감하기",연우휘 사랑해액,둘이 음색합이 진짜 너무 너무너무 좋아요니스나의 별나의 우주여기 진짜 홀리그 자체 이제 연우휘 없다니 삼연 빨리 돌아오세요
35,5,ekinf***예매자,2021.11.28,조회 3,"공감 0
공감하기",평범 보통이란 단어의 소중함,그저 하늘만 보면 상상만 해오던 우주와 별의 이야기에 심취해버렸던 극제이와 은기의 각각의 입장에서 볼수록 더 진하게 다가오는 서로의 깊은 마음 지금도 어디선가 아름다운 삶을 살고 있을 제이와 처음 다시 가보고 싶어지는 오늘이다
36,5,kmj041***예매자,2021.11.28,조회 3,"공감 0
공감하기",이 보통 삼연주세요,삼연주세 여주세 요중계주세요
37,5,kks980***예매자,2021.11.25,조회 4,"공감 0
공감하기",이 보통,돌아와줘
38,5,kks980***예매자,2021.11.25,조회 3,"공감 0
공감하기",이 보통,이토록 보통의 하루를 함께 나누고 싶어
39,5,wonyeji***예매자,2021.11.25,조회 4,"공감 0
공감하기",최고,다시와주세요 너무 좋아요 휘지수 최고
40,5,taiji***예매자,2021.11.24,조회 3,"공감 0
공감하기",막공,잘 가요 정말 행복했고 행복해야 해요 진짜 너무 좋았다 이토록 보통의 하루
41,5,wnan***예매자,2021.11.23,조회 8,"공감 0
공감하기",잘 봤습니다,재연으로 돌아와줘서 고마웠어요 언젠가 또다시 만나 이토록 보통의 즐거운 시간을 함게 할 수 있길 기다리겠습니다
42,5,ajmhn0***예매자,2021.11.23,조회 2,"공감 0
공감하기",재미있었습니다,연우제이님 넘버소 화력에 감탄하면서 봤어요 잘 봤습니다
43,5,1ucyg***예매자,2021.11.22,조회 7,"공감 0
공감하기",이토록 보통의,3연꼭와주세요많이 못 보고 끝난 게 정말 아쉬워요 내용이해가 조금 어려울 수도 있지만 극이 정말 예뻐요
44,5,dllo***예매자,2021.11.22,조회 7,"공감 0
공감하기",좋았는데,너무 어수선 늦게 시작하고 그 외엔 다 좋았어요 끝나서 너무 아쉬운데 다음에 또 꼭 다시 이 캐슷 부탁드려요
45,5,ses1***예매자,2021.11.29,조회 2,"공감 0
공감하기",혜인제 이유동은기,좋았습니다
46,5,pjw930***예매자,2021.11.22,조회 3,"공감 0
공감하기",못 보내,최연우 다시와
47,5,whdgns0***예매자,2021.11.22,조회 8,"공감 0
공감하기",나와 같지만 다른 존재에게 느낀 감정은 나에게도 진심일까,어제와 오늘의 내가 다르고 어제와 오늘의 너가 다르기 때문에 감정은 변화할 수 있지만 변화한 감정을 받아들일 수 있는 용기가 있는 사람이 또 다른 내일로 나아갈 수 있는 거 아닐까
48,5,tina***예매자,2021.11.22,조회 5,"공감 0
공감하기",이 보통 금방와 줘요,자둘을 막 공주에 했다가 눈물 한 바가지 심장이 몽글몽글거리고 생각도 많이 해볼 수 있던 공연이었어 요 배우님들도 최고
49,5,byh***예매자,2021.11.22,조회 3,"공감 0
공감하기",너무 좋아요,오랜만에 사랑 이야기에 울어본 것 같아 요 너무 슬픈데 또 사랑스러운 극이라서 너무 좋았습니다
50,5,didtjdm***예매자,2021.11.22,조회 5,"공감 0
공감하기",짱이에요,3연와 주세요제가 많이 볼게요 2연도 많이 봤어요
51,5,junek***예매자,2021.11.22,조회 3,"공감 0
공감하기",최고,이 보통 가지마휘연 우갓 페어
52,5,jin7***예매자,2021.11.22,조회 2,"공감 0
공감하기",언제나,즐거운 대학로 관극
53,5,jin7***예매자,2021.11.22,조회 3,"공감 0
공감하기",강혜인 신재범,눈물좔좔
54,4,shs8***예매자,2021.11.22,조회 2,"공감 0
공감하기",좋았습니다,공연 좋았습니다
