,Rating,Id,Date,views,like,Title,Text
0,1,kosoo***예매자,2020.05.05,조회 153,공감 0공감하기,열정넘치는공연이었지만,저랑은 잘 안맞었던거 같아요 어떻게든 볼까 싶어 인터미션 끝날때 까지 기다렸는데 2부 시작하고 나서 걍 나왔네요
1,4,lsj1***예매자,2020.05.04,조회 145,공감 1공감하기,정인지 배우님 최고에요,정말루요  또 오면 또 정인지 배우님으로 봅니다 제발
2,5,dlfks***예매자,2020.04.24,조회 45,공감 0공감하기,다시 돌아오리라고 믿으며,마리퀴리 정말 좋았습니다연기도 인상깊고 넘버들도 좋네요다시 보고 싶습니다
3,5,dawon0***예매자,2020.04.20,조회 29,공감 0공감하기,최고에요,꼭 다시 보고싶은 공연입니다
4,5,don04***예매자,2020.04.19,조회 21,공감 0공감하기,굿,매번울어요
5,5,don04***예매자,2020.04.19,조회 22,공감 0공감하기,최고예요,다시 재연해줬으면 좋겠어요 갓극
6,5,mins***예매자,2020.04.14,조회 26,공감 0공감하기,굿,눈물 펑펑 흘리고 나왔어요
7,5,mins***예매자,2020.04.14,조회 55,공감 0공감하기,여성 서사 여성 연대,2막 눈물 줄줄이에요  온갖 명대사들 1막 마지막이 좀 루즈하긴 했지만 넘 좋았어요
8,4,Interl***예매자,2020.04.13,조회 35,공감 0공감하기,울면서 봤어요,마지막에 울던 기억이 나네요마리 가지말아요
9,4,Interl***예매자,2020.04.13,조회 34,공감 0공감하기,돌아와요 마리,보고싶어요
10,5,lth0***예매자,2020.04.13,조회 12,공감 0공감하기,마리퀴리 최고,갓극임
11,5,ejqmf0***예매자,2020.04.13,조회 15,공감 0공감하기,마리퀴리,굉장히 와 닿는 부분이 많더라구요
12,5,hj6***예매자,2020.04.13,조회 19,공감 0공감하기,최고의 뮤지컬,왜 엠디로 손수건을 내지 않았는지 모르겠네요 늘 오열하고 나왔는데 흑흑
13,5,allison7***예매자,2020.04.13,조회 10,공감 0공감하기,다시 올려주세요,정말 가슴이 따듯해지는 작품 너무 좋았어요 얼른 다시 재공연이 왔으면 좋겠습니다
14,5,rlagkdms1***예매자,2020.04.13,조회 8,공감 0공감하기,그립다,마리와 안느
15,5,lnata***예매자,2020.04.13,조회 13,공감 0공감하기,최고였어요,너무많이 울었습니다모든게 벅찬 공연이었어요
16,5,whale4***예매자,2020.04.12,조회 26,공감 0공감하기,사람이라면,아니 여자라면 모두 마리퀴리를 봤어야 했어요 극에 등장하는 모든 여성캐릭터들이 각자의 서사와 매력을 지니고 있어요 무엇보다도 저는 다관람자로서 마리와 안느의 관계를 유성애적 시선과 무성애적 시선으로 바라봤을 때 각각 완전 다른 감정이 느껴지는게 너무 좋았어요 안느라는 가상의 캐릭터가 실존 인물이었던 마리에게 친구 그 이상의 별이 되어주었다는 사실만으로 모든 관객들을 울게 만들었다고 생각해요 두 명의 안느의 캐릭터 해석이 같은 듯 다른점이 제가 생각하는 관람 포인트입니다
17,5,taehee1***예매자,2020.04.12,조회 21,공감 0공감하기,피에르 삼각자 좀 가져다줄래,피에르 삼각자 말고 앵콜 좀 가져다줄래2주나 지났지만 질척거릴래요 계속
18,5,taehee1***예매자,2020.04.12,조회 16,공감 0공감하기,향마리,보고싶어요
19,5,taehee1***예매자,2020.04.12,조회 15,공감 0공감하기,그리운 마리퀴리,라이브 대표님 앵콜 돌아올거죠 믿어요
20,4,xzxz1***예매자,2020.04.10,조회 16,공감 0공감하기,흔하지 않은 여성서사 이야기,우리나라에 많이 나오지 않은 여성서사 이야기라 색달랐습니다 여태 왜 이런 이야기들이 많지않았는지 싶은 극이었습니다 이야기의 초점이 너무 많이 바뀌어서 저는 다 보고나서는 조금 혼란스러웠습니다 중간중간에 욕심에 억지로 끼워넣은 것 같은 부분도 있었어요 아마 연출가님과 작가님이 보여주고 싶은게 많으셨던 게 아니었을까 합니다 그래서 아쉬워요 그래도 다음번에는 더 매끄럽고 매 회차 매진되는 극으로 재정비해서 돌아왔으면 좋겠다는 생각입니다
21,5,eyejja***예매자,2020.04.10,조회 8,공감 1공감하기,잘지내요,우리도 거긴어때요여기도 마리퀴리 너무 보고싶다
22,5,make0***예매자,2020.04.10,조회 7,공감 1공감하기,마리퀴리 최고,재연 오겠죠  꼭 와야해요
23,5,mihyun1***예매자,2020.04.09,조회 5,공감 0공감하기,마리 퀴리,이 작품을 세미막에야 처음 본 게 너무 아쉽고 후회되네요 꼭 다시 돌아왔으면
24,4,ois***예매자,2020.04.09,조회 10,공감 0공감하기,마리퀴리 보내기 아쉬워요,삼마리 모두 다른 매력이 있었는데 암튼 네이버 실황 중계로 좋은 작품 알게되어서 너무나 다행입니다 임별배우는 멜로길만 걷길 바래요 앙상블도 너무 잘하시고 다른 작품 기대됩니다 너무 재밌게 잘봤어요 노래도 감정도 좋아요
25,5,jannab***예매자,2020.04.09,조회 7,공감 0공감하기,갓극 마리퀴리,너무너무 멋있어요
26,5,osj4***예매자,2020.04.09,조회 6,공감 0공감하기,빠른 시일내에 돌아오길 바랍니다,코로나 때문에 보는 것이 조금 늦어져서 너무 아쉬웠어요너무너무 좋은 극이었습니다창작산실 초연 시절대학로 대극장에도 봤었던 작품인데완전히 새롭게 바뀌었고 바뀐 것들이 다들 너무 좋았어요블랙으로 옮기면서 회전무대로 바뀐 점도 좋았고요코로나 종식되고 빠른 시일 내에 돌아와서 다시 볼 수 있길 바랍니다창작진분들 배우분들 스태프분들 하우스관계자 분들 모두모두 고생하셨어요좋은 작품 만들고 운영해주셔서 감사합니다
27,5,mic***예매자,2020.04.09,조회 4,공감 0공감하기,마리퀴리,예측할 수 없고알려지지 않은무언가에온 맘이 들끓어
28,5,mic***예매자,2020.04.09,조회 6,공감 0공감하기,마리퀴리,대극장에서 해주면 더할나위 없을 것 같아요 그정도로 좋았어요
29,5,wbsldj***예매자,2020.04.08,조회 8,공감 0공감하기,오열,자막 & 오열
30,5,alwk7***예매자,2020.04.08,조회 6,공감 0공감하기,재연기다릴게요,퀴리부인이 아닌 마리퀴리라서 좋았습니다
31,5,zkdlx***예매자,2020.04.08,조회 8,공감 0공감하기,너무너무너무 좋았어요,마리퀴리 왜 이게 리사배우님 막공인지 너무 아쉽고 안타까울 정도로 좋았어요 마리퀴리 꼭 다시 올라왔으면 좋겠어요  또 보고 싶어요
32,5,keith2***예매자,2020.04.08,조회 4,공감 0공감하기,마리퀴리 안녕,여성 서사가 주가되는 극이 앞으로도 더 많이 많이 무대에 올랐으면 좋겠어요 감사합니다
33,5,redte***예매자,2020.04.08,조회 9,공감 0공감하기,꼭 다시 돌아오길,만약 이 공연을 보지 못했다면 너무나 아쉬웠을 공연입니다 꼭 모든 배우들이 다음에도 다시 돌아오길 바라며 막공이어서 더 좋았고 더 슬펐던 공연 특히 커튼콜 때 그댄 내게 별> 마지막 소절을 소향 마리가 관객들에게 같이 부르자고 해서 더 울컥했어요매년 여성의 날에는 꼭 마리 퀴리가 올려지기를 기대합니다 그리고 와  좀 내주세요 
34,5,redte***예매자,2020.04.08,조회 4,공감 0공감하기,보내기 아쉬운,이제 정말 끝이구나 싶어서 아쉽고 보내기 아쉬웠던 공연심지어 자리가 시야제한석이었는데도 너무 좋았어요
35,5,redte***예매자,2020.04.08,조회 7,공감 0공감하기,막공이 다가온다는 게,막공이 다가온다는 게 실감나고 슬펐던 공연
36,5,redte***예매자,2020.04.08,조회 8,공감 0공감하기,리사 마리 계속 보고 싶어요,개인적으로 리사 마리를 보는 마지막 공연이었는데 꼭 다음에도 다시 돌아오길
37,5,redte***예매자,2020.04.08,조회 6,공감 0공감하기,계속 그리울 공연,어느 날 어느 캐스트의 공연으로 봐도 좋았고 내용도 좋았던 계속 그리울 공연
38,5,sujs0***예매자,2020.04.07,조회 16,공감 0공감하기,그래서,마리퀴리 삼연은 언제오나요마리퀴리가 총막을 했다는게 믿기질않습니다
39,5,coox***예매자,2020.04.06,조회 10,공감 0공감하기,늦은 후기,마리퀴리 자첫이였는데 배우분들 모두모두 한분 너무 좋았고다시 마리퀴리 나오는날까지 기다리겠습니다
40,5,yjh4***예매자,2020.04.06,조회 11,공감 0공감하기,그죠 밫,최고 
41,5,gold0***예매자,2020.04.06,조회 12,공감 0공감하기,,
42,5,v04***예매자,2020.04.06,조회 7,공감 0공감하기,앵콜 내놓고가라,어딜가냐
43,5,v04***예매자,2020.04.06,조회 6,공감 0공감하기,앵콜,주새요제발
44,5,ryun0***예매자,2020.04.06,조회 9,공감 0공감하기,공연이란게 얼마나 중요한지 알게 되었던,이 공연이 핫해지면서 퀴리부인이라는 단어보다는 마리퀴리라는 그녀의 이름자체가 더 빛날 수 있게 되는걸 보고 역시 공연이란게 매우 중요하단걸 오랜만에 느꼈습니다여성이 주체적인 역할인 극을 너무 보고싶었던 나날들이라 이런 극을 만나게 되어 매우 즐겁게 즐길 수있었습니다마지막주에 보게되어 다시 보기 힘들어서 매우 아쉬웠던 극이었습니다
45,5,parkki***예매자,2020.04.06,조회 8,공감 0공감하기,잘봤어요,초연의 아쉬웠던 부족한서사와 개연성 잘봤어요 특히 마리와 라돈을 연결하여 이야기가 전개되는부분이 참좋았어요 스토리텔링이 되었다고 해야할까요 배우들 열연도 좋았고 재미있게잘봤어요
46,5,sleep***예매자,2020.04.06,조회 5,공감 0공감하기,최고 ,이런 작품이 더 많았으면 좋겠어요
47,4,aristat***예매자,2020.04.06,조회 5,공감 0공감하기,마리는 우리의 빛이야,그 빛을 향해 걷고 또 걷고
48,3,lsopv***예매자,2020.04.06,조회 10,공감 1공감하기,이런극이 더 많이 생겼으면 좋겠어요,여주인공서사극
49,4,dlsnd***예매자,2020.04.06,조회 4,공감 0공감하기,잘봤습니다,이야기랑 넘버들나름 잘 봤습니다
50,5,wntmg***예매자,2020.04.06,조회 4,공감 0공감하기,예측 할 수 없는 마리 퀴리에 빠져든 사랑,꼭 다시 만나요 마리퀴리 사랑해요
51,3,collinsd***예매자,2020.04.06,조회 7,공감 0공감하기,좋아요,삼연 오기를
52,5,yseo***예매자,2020.04.06,조회 5,공감 0공감하기,뮤지컬 마리스클로도프스카퀴리,앵콜공연 하실거죠 이 매혹적이고 흥미진진한 앵콜 내 안을 온통 타오르게 해
53,5,alsl231***예매자,2020.04.06,조회 4,공감 0공감하기,애썼어 마리,충분한 삶이었어
54,5,lov2***예매자,2020.04.06,조회 3,공감 0공감하기,앵콜올려주세요,코로나 지나면 앵콜 
55,5,lov2***예매자,2020.04.06,조회 4,공감 0공감하기,재밌었어요,앵콜 올려주세요
56,4,li***예매자,2020.04.06,조회 8,공감 0공감하기,재미있게 보고 나왔다,창작산실로 봤을때 배우가 아깝다고 생각하고 나왔는데 바뀐부분들이 이전보다 극을 재미있게 볼 수 있도록 만들어 주었던 것 같다 하지만 특히 마리퀴리 배우분의 열연이 이 작품을 추천하는 가장 큰 힘이다 배우가 제대로 소화해주지 않으면 재미가 없어질 극이기도 하다다음에도 더 발전된 극으로 성장하여 돌아오면 좋겠다
57,5,color***예매자,2020.04.06,조회 3,공감 0공감하기,좋았습니다,스케줄 맞추기 힘들어서 뒤늦게 보게 되었는데 보길 잘했다는 생각이 들었습니다 또 볼수있기를 바랍니다
58,5,tea***예매자,2020.04.06,조회 3,공감 0공감하기,다시 돌아오길,배우들의 열정가득한 극 잘봤습니다꼭 다시 돌아오세요
59,5,sonyj0***예매자,2020.04.06,조회 5,공감 0공감하기,잘 지내요,거긴 어때요 여기도 말퀴 끝나고 괜찮지요 아뇨 안괜찮아요 앵콜 빨리 도라와
60,5,yen***예매자,2020.04.06,조회 4,공감 0공감하기,잘봤어요,꼭 얼른 다시 보고 싶어요
61,5,ahdrn***예매자,2020.04.06,조회 4,공감 0공감하기,최고의 뮤지컬,진정한 여성 투톱극
62,5,yang3***예매자,2020.04.06,조회 3,공감 0공감하기,마리퀴리,배우들의 연기 분위기 전부 너무좋았어요
63,5,enchante***예매자,2020.04.06,조회 5,공감 0공감하기,다른 극장에서 정인지 마리 다시 보고싶어요,프로메테우스염불만 빠지면 될듯
64,5,likelik***예매자,2020.04.06,조회 4,공감 0공감하기,뮤지컬 〈마리 퀴리〉,뮤지컬 〈마리 퀴리〉
65,5,hee***예매자,2020.04.06,조회 4,공감 0공감하기,좋았어요,위인의 긴 서사를 짧은 시간으로 압축한다는 건 쉬운 일이 아닌데 그 업적과 인물로서의 갈등을 둘 다 잘 표현했어요 이런 멋진 여성서사극이 많이 올라왔으면 좋겠네요 여러모로 갓극입니다
66,5,stary***예매자,2020.04.06,조회 5,공감 0공감하기,성실하고 우직한 매력,훨씬 자극적으로 만들 수 있었을 것 같은데그러지 않고 찬찬히 생각해서 만든 느낌이에요그래서 더 좋았습니다 이런 극이 더 많았으면 좋겠어요
67,5,hee***예매자,2020.04.06,조회 6,공감 0공감하기,최고예요,다시 마리퀴리 같은 극을 만날 수 있을까요 좀 더 빨리 봤다면 더 많이 볼 수 있었을 텐데 이과생인데 왠지 이 극 보고나면 공부하고 싶어져요 배우님 연기도 연출도 서사도 다 좋았어요 얼른 다음 시즌 기다리고 있겠습니다
68,5,jaeyun***예매자,2020.04.06,조회 6,공감 0공감하기,마리퀴리,마리퀴리 그녀의 인생을 잠시나마 볼 수 있다는 사실만으로도 행복했습니다노벨상을 받은 그녀에 대해 조금이나마 알 수 있다는 것만으로도 작품에서 빛이 나는데 배우들도 너무 좋은 만점 공연
69,5,chzhgnl***예매자,2020.04.06,조회 3,공감 0공감하기,항상 최고,감사했습니다
70,5,c7***예매자,2020.04.06,조회 3,공감 0공감하기,뮤지컬 〈마리 퀴리〉,뮤지컬 〈마리 퀴리〉재연을 볼 수 있어 좋았습니다마리 퀴리 무대 위 모든 배우분들께 박수 보냅니다김소형 김아영 외 모든 배우분들 응원합니다뮤지컬 〈마리 퀴리〉화이팅다시 돌아와주세요
71,5,syr0***예매자,2020.04.06,조회 4,공감 0공감하기,무조건 다시와야,정말 무조건 다시 꼭 와야할 극이에요 보는 내내 정말 울고 기쁘거 아주 벅찬 감동을 받았습니다 무조건 다시 와야할 극이에요 배우님들 꼭 다시 와주세요 마리퀴리 만세
72,5,ostu***예매자,2020.04.06,조회 4,공감 0공감하기,좋은 극이었습니다,이런 극이 계속 많아지면 좋겠네요
73,5,kpood***예매자,2020.04.05,조회 34,공감 0공감하기,아아 재밌어요,라듐과 자신을 일치시키다가 친구 안나로부터 진정한 자아를 찾는 모습을 위대한 과학자 마리 퀴리를 통하 볼수있었네요넘버도 너무 좋고 배우들도 너무 훌륭합니다 특히 마리역할들이 정말 다 너무잘하시네요
74,5,somebody1***예매자,2020.04.04,조회 9,공감 0공감하기,재연 꼭,재연 꼭 와야만 합니다 진짜 너무 기간이 짧고 오슷 딥디 박제도 없어서 눈물만 나요 빠른 시일 내로 마리 퀴리 재연이 올라와서 더 많은 사람들이 볼 수 있도록 해야만 합니다 얼른 돌아와요
75,5,lee7480***예매자,2020.04.04,조회 7,공감 0공감하기,부족함을 찾아볼 수 없는 명작,최고입니다 눈물 흘리지 않을 수 없으며 사랑하지 않을 수 없는 작품
76,5,ekdrld***예매자,2020.04.04,조회 12,공감 0공감하기,정 마리 스클로도프스카 퀴리 인지,인지마리 정말 천재  늘 좋은공연 보여주셔서 너무 감사합니다무대인사까지 너무너무 감동이었어요 사랑합니다
77,5,ekdrld***예매자,2020.04.04,조회 6,공감 0공감하기,예측할 수 없고,알려지지 않은 무언가에 온 맘이 들끓어정말 이렇게까지 재미있을 줄은 예측하지 못했었는데 매회차마다 너무 감동이고 행복했습니다3마리 2안느 다 사랑해
78,5,ekdrld***예매자,2020.04.04,조회 5,공감 0공감하기,마리 사랑해,마리스클로도프스카퀴리마리가 내 별이야
79,5,rlagkdms1***예매자,2020.04.04,조회 4,공감 0공감하기,다시보고싶어요,그리운 마리
80,5,duye1***예매자,2020.04.03,조회 5,공감 0공감하기,최고이에요,오랜만에 감동을 느꼈어요 강인한 여성서사를 원했는데 2020년에 딱 어울리는 멋진 여성 마리퀴리였습니다
81,5,taehee1***예매자,2020.04.03,조회 6,공감 0공감하기,그리운 마리퀴리,앵콜 해주세요 제발요 제발요 너무 그리워요
82,5,kbm4***예매자,2020.04.03,조회 4,공감 0공감하기,재밌어요,재밌어요
83,5,kt2th***예매자,2020.04.03,조회 13,공감 0공감하기,앵콜해줬으면,너무 늦게 입덕해 제대로 회전도 못했어요너무 좋은 극입니다
84,5,kt2th***예매자,2020.04.03,조회 13,공감 0공감하기,최고의 공연,제목 그대로감동입니다
85,5,lovspi***예매자,2020.04.03,조회 5,공감 0공감하기,너무 조앗네요,마리퀴리 정말 대단해요다음 시즌 얼른 왓으면 좋겟어
86,5,hyou***예매자,2020.04.03,조회 8,공감 0공감하기,원형무대 활용은 조금 아쉽지만,좋은 작품입니다
87,5,hyou***예매자,2020.04.03,조회 6,공감 0공감하기,현실과 이야기의 적절한 조화,시너지 효과가 좋았습니다
88,5,hyou***예매자,2020.04.03,조회 6,공감 0공감하기,잘 만든 이야기,재미있게 봤어요
89,4,opal***예매자,2020.04.02,조회 5,공감 0공감하기,재미있어요,재미있어요
90,4,opal***예매자,2020.04.02,조회 5,공감 0공감하기,좋아요,좋아요
91,5,irisjja***예매자,2020.04.02,조회 5,공감 0공감하기,너무,최고입니다
92,5,syj***예매자,2020.04.02,조회 5,공감 0공감하기,마리퀴리,다음 시즌도 만나고 싶어요
93,4,sca***예매자,2020.04.02,조회 6,공감 0공감하기,괜찮았어요,내용은 좋았지만 넘버가 듣기 힘든것도 있고 조금 지루했어요
94,5,phb0***예매자,2020.04.02,조회 4,공감 0공감하기,재밌게 봤어요,좋은 뮤지컬
