,Rating,Id,Date,views,like,Title,Text
0,5,ydaji***예매자,2019.01.12,조회 111,공감 1공감하기,올해 본 공연 중 최고였어요,타이틀롤 외에 매력적인 캐릭터가 없다는 것은 다소 아쉽지만 넘버와 배우들 연기 모두 좋았습니다
1,5,tngus0***예매자,2018.07.02,조회 84,공감 2공감하기,벤허,재미있어요
2,5,fate***예매자,2018.05.28,조회 49,공감 1공감하기,넘나행복했습니다,엄마가 좋아한 영화였는데 엄마도 만족하셨대요
3,4,yenisur***예매자,2018.04.25,조회 45,공감 1공감하기,너무 좋았어요,역시 은벤허 장난아닙니다
4,5,lov2n***예매자,2018.01.09,조회 36,공감 1공감하기,굿,굿
5,5,***,2018.01.09,조회 87,공감 2공감하기,명작 벤허를 뮤지컬로,다른 원작을 기반으로 뮤지컬을 만들었다고 하면 큰 기대를 하지 않는 편이다하지만 벤허를 보면서 여러 세트 스크린 등을 활용해서 영화의 느낌을영화와는 또 다르게 보여준 것이 인상적이었다
6,5,tdndka***예매자,2018.01.06,조회 77,공감 1공감하기,벤허 짱,내용을 알고서 관람했는데도 불구하고 무대를 다양하게 활용하여 표현하는 모습을 보며 정말 감탄했습니다 배우 한사람한사람의 뛰어난 역량과 표현들로 소름돋는일도 많구 카이씨안시하씨 완전 팬됐어요
7,5,auswl***,2018.01.03,조회 89,공감 1공감하기,뮤지컬<벤허>,너무 재밌게 잘 봤던 기억이 나요궁금했던 전차씬 등 무대가 너무 멋졌고 박진감 넘치고 배우분들의 열연으로 감동까지 최고였습니다
8,5,kanoz***예매자,2018.01.01,조회 73,공감 1공감하기,추석날 본 공연,무대 장치 좋고 음악도 좋아 힐링되었습니다 추천해요
9,4,kanoz***예매자,2018.01.01,조회 79,공감 0공감하기,좋은 공연,연기자 공연 좋았고힐링의 시간이였습니다추천합니다
10,4,true8***,2017.12.28,조회 103,공감 1공감하기,뮤지컬 벤허 관람후기,1 벤허는 어릴적 오래된 영화로도 많이 접했던 스토리인데 스케일이 큰 뮤지컬로 만나니 또 새롭고 짜릿한 스릴감이 있었다 특히 전차 씬은 무대에서 어떻게 표현해낼까 궁금했는데 기대 이상으로 너무 멋지고 웅장했다2 다양한 시각적 변화와 공간 창출로 볼거리가 확실했던 뮤지컬이었다 세계적인 명화를 창작 뮤지컬로 재연해내기 위해 제작진은 얼마나 큰 부담을 느꼈을지 그것을 또 그만큼 잘 해내었는지 박수를 보내주고 싶다3 벤허 역으로 박은태 카이 유준상 배우가 열연했는데 기회가 된다면 주연 배우가 다른 공연을 즐기면 같은 스토리지만 다른 매력으로 즐길 수 있었을 것 같다
11,4,calci***예매자,2017.12.27,조회 63,공감 1공감하기,잘 만든 작품입니다,마차경주 장면도 잘 구현했고 내용도 잘 짜여진 재밋는 작품이네요
12,5,kdhbm***예매자,2017.12.25,조회 61,공감 2공감하기,박은태배우님 ,너무 잘봣습니다 가창력이 너무 대단하셔요
13,5,changhee1***예매자,2017.12.24,조회 39,공감 0공감하기,정말 재밌었어요,영화벤허를 재밌게봐서 더욱 재밌게 봤었어요 박은태배우님의 벤허도 정말 최고였습니다
14,4,yedori***예매자,2017.12.24,조회 48,공감 1공감하기,뮤지컬 젠허,또 보고 싶은 공연
15,4,yedori***예매자,2017.12.24,조회 27,공감 0공감하기,뮤지컬 벤허,다 좋음 넘버도 연출도 연기도 다 좋음 또 봐도 또 보고싶은 공연
16,4,m45***예매자,2017.12.23,조회 38,공감 0공감하기,막공 너무 좋았음,영화에서 보던 것을 너무 아이디어 좋게 무대에서 연출해서 놀랐어요  프랑켄슈타인 처럼 창작에 힘을 보여줬음
17,4,dodoji***예매자,2017.12.17,조회 47,공감 0공감하기,벤허 후기,이 전에 유준상님 주연 뮤지컬을 재밌게 본 기억이 나서 벤허를 선택 가창력은 조금 떨어지지만 연기력은 역시좋았습니다전차씬도 인상적이었어요
18,5,bigeye***예매자,2017.12.13,조회 16,공감 1공감하기,대박,말이 필요없음 최고의 뮤지컬임
19,4,phm9***예매자,2017.12.13,조회 21,공감 0공감하기,벤허,음조금 어렵다거나 생각이 드는 작품이지만 퍼포먼스가 훌륭해서 눈과 귀가 즐거운 공연이었던 것 같습니다
20,5,raye1***예매자,2017.12.07,조회 17,공감 0공감하기,감동 그자체,외국서만 보다 한국서 첨 본 뮤지컬감동그자체 였어요연기도 잘하시고 내용도 너무좋구 모든게 다좋았습니다
21,5,goldsil***예매자,2017.12.06,조회 9,공감 0공감하기,벤허,멋진공연 잘봤어요
22,3,nid***예매자,2017.12.05,조회 51,공감 0공감하기,모든게 평타,스토리 및 무대연출 배우 연기력까지 튀지 않고 무난한듯 보이지만 최선의 노력이 있음을 알수있다
23,5,bbong***예매자,2017.12.03,조회 10,공감 0공감하기,벤허,무대장치랑 최고였음
24,5,tndlsl0***예매자,2017.12.01,조회 33,공감 0공감하기,,
25,5,ucla1***예매자,2017.11.30,조회 12,공감 0공감하기,뮤지컬벤허,용서가 답이다
26,4,ucla1***예매자,2017.11.30,조회 16,공감 0공감하기,뮤지컬벤허,언제나 옳은
27,5,sul9***예매자,2017.11.28,조회 9,공감 0공감하기,벤허,굿굿굿
28,4,wooang7***예매자,2017.11.27,조회 24,공감 0공감하기,배우분들 너무 잘하시네요,무대나 서사 다 좋고 무엇보다 배우분들 노래 너무 잘하세요
29,5,sul9***예매자,2017.11.26,조회 9,공감 0공감하기,밴허,또봐도돈아깝지않은무대네요
30,5,cocoti***예매자,2017.11.26,조회 12,공감 0공감하기,뮤지컬벤허,뮤지컬 벤허 끝나서 너무 아쉽다 지금도 사진보며 그때의 벤허를 추억한다 너무 잘했던 카이벤허 그립다
31,5,***예매자,2017.11.24,조회 6,공감 0공감하기,,감동이에요
32,4,praisig***예매자,2017.11.23,조회 14,공감 0공감하기,최고의 선물,예비 장모님과 이모님께서너무 재밌게 관람하셨다고합니다벤허의 명장면전차씬도 훌륭했다고합니다감사합니다
33,5,hsy0***예매자,2017.11.20,조회 7,공감 0공감하기,벤허,완전 좋았음 박은태 짱
34,5,xldhv***예매자,2017.11.20,조회 11,공감 0공감하기,벤허짱,더보고싶다 
35,5,plaudi***예매자,2017.11.19,조회 12,공감 0공감하기,기대이상의 감동,완전 감동 그 자체배우들연기도 몰입도 최고
36,5,redss***예매자,2017.11.17,조회 14,공감 0공감하기,너무 너무 재밌었어요,무대 연출도 좋고 넘버가 너무 좋네요 카이배우님 목소리 너무 좋아요 
37,5,matiz2***예매자,2017.11.17,조회 13,공감 0공감하기,역시 벤허,고등학교때 아주 감동적인 영화였는데 다시 뮤지컬로 보니 환상적이고 카이의 목소리 또한 아주 좋았다 원형경기장의 무대시설도 인상깊었다 한 작품을 위해 정말 곳곳에서 숨은 준비가 얼마나 중요한지 다시 한번 깨닫게 된 종합예술이었다
38,2,rnrnjsah***예매자,2017.11.16,조회 71,공감 0공감하기,그냥,저냥
39,5,bu***예매자,2017.11.15,조회 9,공감 0공감하기,다시보고싶은 공연,연기력도 무대구성력도 노래실력도 모두 훌륭
40,5,bu***예매자,2017.11.15,조회 6,공감 0공감하기,다시보고 싶은 뮤지컬,연기력도 무대구성력도 노래실력도 모두 훌륭
41,5,bu***예매자,2017.11.15,조회 10,공감 0공감하기,다시보고 싶은 뮤지컬,무대구성이나 스토리가 스피드하게 전환되는것도 좋았고 배우들의 연기가 탄탄해서 여러모로 감동
42,5,prai***예매자,2017.11.15,조회 10,공감 0공감하기,단연최고,빨리 다시 재공연했으면 좋겠다
43,5,prai***예매자,2017.11.15,조회 11,공감 0공감하기,최고의 작품,무슨말이 더필요한가요
44,5,hdpri***예매자,2017.11.14,조회 10,공감 0공감하기,영화 이상의 재미감동,영화의 스케일을 재미를 어쩌면 능가하는 감동을 선사한 뮤지컬 벤허입니다
45,5,mjy99***예매자,2017.11.14,조회 13,공감 0공감하기,,또 보고 싶어요 카벤허재연 기다립니다 
46,5,eybel***예매자,2017.11.14,조회 13,공감 0공감하기,최고의 막공,마지막 공연이라 아쉬움에 감동은 더 컸습니다 배우님들도 열정과 마음을 담아 보여주셔서 몰입도는 더 컸습니다유벤허님과 박메셀라님 안에스더님도 최고였지요 앙상블 깃발 씬에서 가운데 분은 부러진 깃대를 들고도 열심히 마무리까지 해주시공막공이라 마지막에 모든 배우 분들이 다 오셔서 인사해주시는데 정말 아쉽고 행복한 모습이었습니다 다음 벤허 공연도 기다려집니다
47,5,yuriann***예매자,2017.11.14,조회 10,공감 0공감하기,멋진 공연,배우들 노래 연기 춤 모두 완벽했다
48,5,guej***예매자,2017.11.13,조회 13,공감 0공감하기,뮤지컬 벤허,박은태배우의 목소리에 감동받았어요
49,4,ded***예매자,2017.11.13,조회 13,공감 0공감하기,너무 좋았습니다,배너보고 클릭하는 벤허
50,5,se1***예매자,2017.11.13,조회 8,공감 0공감하기,감동의 시간,벤허를 통해 보여주는 삶의 정수
51,5,cks1***예매자,2017.11.13,조회 8,공감 0공감하기,멋진 공연,잘 봤어요
52,5,cks1***예매자,2017.11.13,조회 7,공감 0공감하기,재연 올려주세요,기다립니다
53,5,kkatek***예매자,2017.11.12,조회 4,공감 0공감하기,벤허 강추,재연 언제 하나요 벤허 빨리 보고싶어요
54,5,poli0***예매자,2017.11.12,조회 5,공감 1공감하기,너무 멋진 공연이였습니다,카이님이 하신 공연이 넘 멋졌어요벤허와 나머지 등장인물들의 마음이 잘 전해진 것 같아요 공연 본 후에 그 감동이 잊혀지지가 않네요다음에도 또 하게 되면 보고싶어요
55,5,masil***예매자,2017.11.12,조회 11,공감 0공감하기,엄마랑 또 보고싶은 뮤지컬이에요,박은태 배우님 다정한 벤허 너무 멋졌어요 무대도 정말 화려하고 볼거리 많은 공연이었어요 배우님들이랑 앙상블분들 몸 만드시느라 고생하셨겠어요 보는 저는 감사했습니다  엄마 모시고 보고싶어요 꼭 빨리 와주세요
56,5,clayc***예매자,2017.11.11,조회 12,공감 0공감하기,공연이 끝나도 감동은 계속되고 있어요,믿고보는 박은태 배우와 갓 앙상블 그리고 좋은 연출과 음감님까지 프랑켄슈타인에 이어 다시한번 자랑스러운 창작극을 만났습니다
57,5,mika0***예매자,2017.11.11,조회 13,공감 0공감하기,원작이 다시 보고 싶어진 멋진 공연,벤허라는 영화는 어릴 적에 몇번 보긴 했던것 같은데 정확한 내용도 잘 기억나지 않는 남들이 이야기 하던 명작이었습니다그런데 오늘 공연을 보고나니 영화도 다시 한번 보고 싶어지는군요무대장치들도 배우들의 연기도 모두 훌륭했습니다 또 보러 오고 싶을만큼
58,5,sjempr***예매자,2017.11.11,조회 9,공감 0공감하기,최고입니다,무대 위의 모든 배우님들 최고였어요
59,5,hidem***예매자,2017.11.10,조회 12,공감 0공감하기,다음 시즌 무조건 예약이요,전혀 기대안했었는데너무 좋았어요 첫 티켓오픈부터 참여할걸 후회막심다음 시즌 돌아오면 회전문을 열심히 돌겠습니다
60,5,whiteko***예매자,2017.11.10,조회 11,공감 0공감하기,또 다시 볼수있길,소설 영화 참 긴 내용인데 뮤지컬로 그 내용을 잘 담은것같네요 또 보고싶어요
61,5,***예매자,2017.11.09,조회 10,공감 0공감하기,벤허벤허,벤허벤허벤허벤허
62,3,wjdguswl***예매자,2017.11.09,조회 29,공감 0공감하기,뮤지컬 벤허,연출진이 연출진이다보니 전작 생각도 많이 나고초연이라서 보게되었는데생각보다 괜찮았던것 같습니다조금 보기 불편한 장면들이 몇몇 있어서 불편했던것 빼고배우분들의 연기는 좋았습니다
63,5,pse8***예매자,2017.11.09,조회 11,공감 0공감하기,눈도 귀도 즐거운 공연,눈도 귀도 즐거운 공연이였어요
64,5,cjy6***,2017.11.09,조회 14,공감 0공감하기,뮤지컬〈벤허〉,뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉뮤지컬〈벤허〉
65,5,kkatek***예매자,2017.11.08,조회 12,공감 0공감하기,벤허 못 잊어 질척거리는중,재연 빨리 해주세요 막공한지 10일여 지났는데 자꾸 보고싶어요
66,5,bwq1***예매자,2017.11.08,조회 10,공감 0공감하기,또 보고 싶어요,볼수록 좋아요 또 보고 싶네요
67,5,bwq1***예매자,2017.11.08,조회 8,공감 0공감하기,최고,배우들 하나하나 정말 최고재연 빨리 오길
