,Rating,Id,Date,views,like,Title,Text
0,5,th4***예매자,2022.08.01,조회 21,공감 0공감하기,좋다 좋은극이다,좋았다
1,5,kj139***예매자,2022.04.19,조회 43,공감 1공감하기,언제나 기다려 팬레터 다시 오기를,세미 막공 정말 최고였습니다 팬래터 극 열릴때마다 꼭 볼거예요 진짜 인생극입니다
2,5,rgw***예매자,2022.04.18,조회 20,공감 0공감하기,팬레터 최고,또 보고싶어요
3,5,rmgk***예매자,2022.04.14,조회 22,공감 0공감하기,따뜻하고 다정한 팬레터,결국엔 서로를 사랑한 사람들의 따뜻하고 가슴아픈 이야기
4,5,kimjm0***예매자,2022.04.13,조회 29,공감 1공감하기,팬레터가 가버리다니,너무 슬퍼요 다음에 또 오겠죠그때는 아티움 말고 다른 곳에서 했으면 좋겠습니다
5,5,kimjm0***예매자,2022.04.13,조회 20,공감 0공감하기,아 역시 명불허전,유명한 뮤지컬이라서 봤는데너무 재밌어요강추강추
6,5,seojiyoo***예매자,2022.04.11,조회 16,공감 0공감하기,갓극,최고입니다 너무좋아요
7,5,ht***예매자,2022.04.09,조회 41,공감 1공감하기,아직도 여운이 스며 그리운 목소리들,이규형려욱 두분 배우로 2월19일 처음보고 3월19일 두번째 그 외 배우님들 조합으로 1번 총 3회 관람 했고 이미 팬레터가 끝나고 다른 더 큰 규모의 뮤지컬도 2 작품 이상 봤지만내게 계속 여운이 남아 편지의 주인을 나는 사랑하지 않을 수 없다 한결같이 너의 답장을 기다리마 중얼중얼 합니다 다음 팬레터까지 어떻게 기다리죠 22년 3월19일 오후에 마지막 팬레터 이후 계속 답장을 기다립니다 그리운 해진쌤
8,5,dduji0***예매자,2022.04.07,조회 22,공감 0공감하기,진짜 좋은 작품,처음 봤다가 푹 빠져서  사고그렇게 됐어요 사연 만 목이 빠져라 기다립니다
9,4,yejinich***예매자,2022.04.04,조회 33,공감 0공감하기,글을 사랑하고 글을 쓰는 사람들의 이야기,억압받는 시대에 글을 쓴다는 건 어떤 의미일까그리고 또 어떤 마음일까그들의 마음과 심정을 감히 내가 상상해볼 수는 없겠지만 극을 보는 내내 잠시나마 그들의 곁에 있고 싶었다
10,5,ehdjs***예매자,2022.04.04,조회 51,공감 0공감하기,라이브가 라이브한극이긴한데,이렇게 랜덤이벤트할거면 생각좀잘하고 해줬으면
11,5,mar***예매자,2022.04.04,조회 18,공감 0공감하기,너무 재밌어요,오연 기다리겠습니다
12,5,chyu***예매자,2022.04.04,조회 22,공감 0공감하기,사랑해요 팬레터,넘버 연기 서사 삼위일체로 너무 재밌는 극
13,5,cruel***예매자,2022.04.04,조회 21,공감 0공감하기,최고,눈물난다 증말 
14,5,judy1***예매자,2022.04.04,조회 35,공감 0공감하기,김경수 배우님 허혜진 배우님 정말 짱이에요,두분 다음 팬레터때 또 보고싶습니다꼬옥 다시 와주시길 부탁드리는 바
15,5,won5251***예매자,2022.04.04,조회 13,공감 0공감하기,최고,팬레터 최고예요
16,5,youlov***예매자,2022.04.04,조회 24,공감 0공감하기,봄이 왔는데,팬레터는 가버렸네요양승리 배우의 특별출연과 과몰입 가능했던 원우준배우님 꽃까지코로나임에도 불구하고 잘 마무리해서 다행입니다4연 사랑했습니다
17,5,8402j***예매자,2022.04.04,조회 12,공감 0공감하기,좋아요,극장만 아니었으면
18,5,mitc***예매자,2022.04.04,조회 16,공감 0공감하기,최애 뮤지컬,난생 처음 회전이란걸 돌게 만든 작품
19,3,19321***예매자,2022.04.04,조회 42,공감 0공감하기,극장이 별로예요,극장이 별로예요
20,5,shan***예매자,2022.04.04,조회 23,공감 1공감하기,마지막 편지,마지막으로 쓰는 해진선생님의 편지를 함께할 수 있어서 좋았어요만나서 반가웠던 사연이고 다시 만날 수 있기를 바래요관객이시여 슬픔을 아시나이까
21,5,naki***예매자,2022.04.04,조회 11,공감 0공감하기,추천합니다,정말 너무나도 사랑하는 넘버 해진의 편지를 볼 수 없다니팬레터기 떠난 후 매일 기다립니다 오슷 그리고 딥디
22,5,naki***예매자,2022.04.04,조회 14,공감 0공감하기,나의 봄을 보낸다,안녕 나의 봄 해진선생님봄이 오는데 선생님은 떠나고 없네요다음에 다시 만나요
23,5,aus***예매자,2022.04.03,조회 14,공감 0공감하기,끝이라는게 아쉬운 공연,올 겨울은 팬레터 덕에 정말 행복한 기간이었어요 극의 내용 자체가 마냥 행복하다고 할 수는 없겠지만 보는 내내 다른 생각 안하고 오로지 이 극에만 몰입해서 집중해서 볼 수 있어서 참 좋았습니다 5연이 벌써 기다려지는 요즘입니다 빨리 다음 시즌이 왔으면 좋겠어요
24,5,dud6***예매자,2022.04.03,조회 8,공감 0공감하기,팬레터 너무 좋았어요,팬레터 너무 좋았어요  다음에 또 와주세요 해진쌤 정세훈 히카루 칠인회 쌤들 모두 기다려요  꼭와주세요
