,index,Rating,Id,Date,views,like,Title,Text
0,0,5,lovely***,2014.05.14,조회 389,"공감 3
공감하기",베스트삶의 ''윤활유''가 되어준 그리스♥,대니와 샌디의 귀여운 사랑이야기와 각각의 남자 여자친구들의 솔직 발랄 앙큼한 발칙함까지고등학생들의 이야기라 미국의 하이틴 영화를 생생하게 보는 듯한 느낌이 들었어요오글거리고 유치한 부분도 그들만의 즐거운 파티 느낌으로 즐겁게 승화시켜서 부담이 없었어요유명한 넘버  를 들으며 저도 모르게 따라 불렀네요특히 엉덩이 춤과 주크박스 신이 가장 기억에 남네요정말 반가웠던 뮤지컬 그리스 이름처럼 삶의 윤활유가 되어주었어요
1,1,5,tae***예매자,2015.01.18,조회 35,"공감 0
공감하기",또 보고 싶은.,즐겁게 보고 갑니다
2,2,5,rgtt***예매자,2015.01.15,조회 82,"공감 1
공감하기",그리스,너무좋아용
3,3,5,aha4***,2015.01.02,조회 136,"공감 0
공감하기",최고의 공연이었습니다.,그리고 모두 수고하셨습니다여운이 가시질 않아 뮤지컬 그리스를 찾아보다가 여기 글을 남기네요다음엔 꼭 한번 정면에서 보고 싶습니다 미닫이 옆이 아닌 잊지 못할 추억이 될것 같습니다모두 새해복 많이 받으세요 상수크루2
4,4,5,gmlwns9***예매자,2014.12.09,조회 145,"공감 0
공감하기",재밌었어요!!!,그리스 꼭 보고싶었던 작품이었는데 너무너무 자밌게 봤습니당
5,5,4,pooheu***예매자,2014.12.09,조회 116,"공감 0
공감하기",생생함이 넘쳐나요~~,너무 본지 오래됐지만넘넘 잼났어요눈을 뗄 수없고계속 신나요 그리고 엉덩이를 잊을 수 없네요 어쨌든 나무 재밌는 공연이었어용
6,6,5,yum***예매자,2014.12.03,조회 117,"공감 0
공감하기",세번째 관람~^^,그리스만 세번째 관람이였는데 소극장에서 하니 더 잘 보이고 좋았어요그리스는 봐도봐도 재미있네요 
7,7,5,***예매자,2014.11.19,조회 69,"공감 0
공감하기",그리스 ㅋㅋㅋ,연기학원에서 그리스를 해봐서 느낌을 알고 봤기때문에 더 쉽고 이해가 잘되었다 무엇보다 내가 보는 입장이되어 보니까 매우 재밌는 작품인것 같다
8,8,4,liebe***예매자,2014.11.14,조회 208,"공감 0
공감하기",너무 활기찬 공연이었어요.,지난번 시카고 공연을 2층 석에서 보았던 탓에 이번에는 기필코 앞자리를 사수하겠다는 마음으로 조기예매를 했습니다 다행히 중앙 2열에서 보게된 공연 배우들의 표정하나하나 땀방울 하나하나까지 보일 정도로 가까운 거리였어요 덕분에 공연에 아주 몰입할 수 있었고 배우들의 열정이 고스란히 느껴져 감동 받았습니다 역시 공연은 앞좌석이 좋아요 
9,9,3,tngus0***예매자,2014.10.31,조회 110,"공감 0
공감하기",뮤지컬 그리스,와우처음부터 끝까지 계속 웃기만 했던거 같은 뮤지컬 너무 재밋어요
10,10,5,abcha***예매자,2014.10.28,조회 80,"공감 0
공감하기",꼭 한번 봐야될 뮤지컬 그리스!,그리스는 정말 꼭 보고싶었던 뮤지컬이였는데학생이여서 돈도 없지만 그리스는 할인이 많이 되더라구요그래서 부담없이 관람할 수 있어서 너무 좋았구요뮤지컬 배우님들 연기력도 다들 너무 좋으시고 어느 한분 빠지는 분이 없으시더라구요목소리도 너무 좋고 노래도 다들 잘하시고 부럽습니다약 2시간동안 정말 즐거운 분위기에 푹 빠져서 봤어요여주와 남주의 달달한 모습도 좋고 춤추는 것도 좋고 진짜 스트레스 잘 풀었어요 다음에도 또 보고싶어요
11,11,3,orchi***예매자,2014.10.28,조회 135,"공감 0
공감하기",그냥,그냥생각보단
