,index,Rating,Id,Date,views,like,Title,Text
0,0,5,dhdmsquf***예매자,2021.08.26,조회 45,"공감 0
공감하기",렌트는 사랑입니다,여러분 렌트하세요 렌트는 사랑입니다
1,1,5,jslee3***예매자,2021.02.15,조회 43,"공감 0
공감하기",또 보고파요,
8,8,5,jslee3***예매자,2021.02.15,조회 12,"공감 0
공감하기",렌트 ㅠㅠㅠㅠ,또 보고싶네요
10,10,5,jslee3***예매자,2021.02.15,조회 19,"공감 0
공감하기",렌트 ㅠㅠㅠㅠ,또 보고싶네요
23,23,5,ramki***예매자,2020.12.08,조회 23,"공감 1
공감하기",꺼져가던 내 2020년의 candle에 light를 켜 준 작품,렌트 내 2020년에 다시 한 번 불 좀 붙여줄래  너무 그리워요
29,29,5,ramki***예매자,2020.12.08,조회 7,"공감 0
공감하기",꺼져가던 내 2020년의 candle에 light를 켜 준 작품,렌트 내 2020년에 다시 불 좀 붙여줄래  너무 그리워요
43,43,5,kchi***예매자,2020.11.02,조회 10,"공감 0
공감하기",렌트,25000분의 시간 어려운 시기 공연을 준비하고 보여준 배우들에게 박수를 보냅니다
44,44,5,lad***예매자,2020.11.02,조회 8,"공감 0
공감하기",렌트,사랑을 노래해요
45,45,5,gmldnjs1***예매자,2020.10.22,조회 12,"공감 0
공감하기",렌트는 언제나!,렌트는 언제나 옳다 사랑과 삶 그리고 그안에 눈물과 웃음 뭐 하나 부족하지않았다      
46,46,5,sungr***예매자,2020.10.19,조회 22,"공감 0
공감하기",코로나 때문에 종영...,네번째 공연 예매했는데 너무 아쉬웠어요잶콜린 호영엔젤 수하미미 아이비미미 지후로저 종혁로저 다 보고싶을 거예요
49,49,5,imyourgi***예매자,2020.10.19,조회 14,"공감 0
공감하기",너무 좋았어요,최고 입니다
51,51,5,engle131***예매자,2020.10.01,조회 11,"공감 0
공감하기",너무좋아요,배우님들 연기에 숨이 멎는줄알았어요넘버도 귀에 감기고 너무 좋아요
54,54,4,rika0***예매자,2020.09.28,조회 9,"공감 0
공감하기",너무 재밌었어용,잊지못할 한 여름의 겨울 노래
55,55,5,puff***예매자,2020.09.26,조회 8,"공감 0
공감하기",너무 재밌었어요,넘버 너무 좋습니다
56,56,5,rhkr0***예매자,2020.09.21,조회 12,"공감 0
공감하기",재밌어요,재밌어요
57,57,5,yuri***,2020.09.07,조회 30,"공감 0
공감하기",결국 막공이 사라졌네요,너무 아쉽고 슬프지만 곧 머지않아 만날 수 있기를 기대합니다
58,58,5,mymythol***,2020.09.07,조회 22,"공감 0
공감하기",노데이 벗 투데이,막공이었는데 취소되서 너무 아쉬워요
59,59,5,cka0***예매자,2020.09.06,조회 21,"공감 0
공감하기",너무신나고즐거운공연!!!,배우분들이 너무 예쁘고 멋있었어요사랑에는 경계가없고음악도너무훌륭했습니다
63,63,5,dmstj0***예매자,2020.09.05,조회 27,"공감 0
공감하기",오직 오늘뿐,오직 오늘뿐
64,64,5,tndus5***예매자,2020.09.04,조회 18,"공감 0
공감하기",너무 재미있어요~!,이페어 막공이 이날일줄 알았으면 조금더 집중해서 봤을텐데 보는 내내 행복하고 즐거웠지만계속 허전하구 아쉬움만 남네요 렌트 꼭 다시올수 있었으면 좋겠어요
