Unnamed: 0.1,Unnamed: 0,index,Rating,Id,Date,views,like,Title,Text
0,0,0,5,khi794***예매자,2022.07.30,조회 31,공감 0공감하기,너무 행복한 기억이 됐어요,렛미플라이 보면서 많이 웃고 울었어요 살면서 누구나 후회는 한다는 말과 혼자서 다 짊어지려고 하지 말라는 노인 남원의 말이 저를 많이 위로해주었네요  렛미플 얼른 재연 올라왔으면 좋겠어요 캐슷도 너무 완벽했어요 
1,1,1,5,ladyd***예매자,2022.07.11,조회 30,공감 0공감하기,너무 잘 만든 극이라고 생각해요,연출 구성 캐슷 스토리 어느하나 빠지지않는 고퀄리티 창작극재연 기다릴게요
2,2,2,5,cjenny***예매자,2022.07.09,조회 29,공감 0공감하기,렛미플라이,너무 즐겁게 관람했어요 돌아온다면 꼭 다시 보고싶은 극입니다  아직 본 뮤지컬이 많지는 않아도 봤던 것 중에 가장 오래 여운이 남았던 것 같아요 배우님들도 너무 좋았고 내용도 좋고 넘버들도 다 너무 좋았어요
3,3,3,5,ddw9***예매자,2022.07.02,조회 22,공감 0공감하기,      ,마음 따뜻해지는 이야기
4,4,4,5,ryuhye***예매자,2022.07.01,조회 26,공감 0공감하기,렛미플라이,공연 잘 봤습니다
5,5,5,5,ryuhye***예매자,2022.07.01,조회 22,공감 0공감하기,렛미플라이,마음이 따뜻해지는 좋은 공연이었어요 재밌게 잘 봤습니다
6,6,6,4,psrsrs***예매자,2022.06.30,조회 13,공감 0공감하기,좋아요,좋아요몽글몽글 해지는기분
7,7,7,5,sim9***예매자,2022.06.29,조회 12,공감 0공감하기,오래도록 기억에 남을,정말 마음이 따뜻해지는 극이었습니다 모든 배우가 다 애정이 갔던 렛미플라이 앞으로도 계속 자주 만날 수 있는 극이 되었으면 좋겠네요
8,8,8,5,lieche1***예매자,2022.06.28,조회 19,공감 0공감하기,최고의 뮤지컬 렛미플라이,정말정말 사랑했던 렛미플라이 마지막 관람을 보게되었는데 몇십번을 보았지만 가장 감동적이고 유머넘쳤던 공연이었던 것 같습니다 재미뿐만아니라 감동까지 선사하는 최고의 뮤지컬 렛미플라이를 이제는 떠나보내야했지만 그동안 너무나 행복했고 줄거웠습니다
9,9,9,5,hairtail0***예매자,2022.06.27,조회 15,공감 0공감하기,잊고 있던 꿈에 대한 감동적인 이야기,꿈을 이루지 않아도 생각했던것과는 조금 달라졌어도 그 모든 시간이 쌓인 것이 당신이고 그게 틀린 게 아니라는 것을 말해주는 감동적인 뮤지컬입니다 너무 감동적이라서 17번 봐버렸습니다
10,10,10,5,gyqls0***예매자,2022.06.27,조회 10,공감 0공감하기,렛미플라이,너무 좋은 극이에요 초연이라고 들었는데 얼른 재연이 오기를
11,11,11,5,pas9***예매자,2022.06.27,조회 19,공감 0공감하기,너무 늦게 알게 되어 아쉽네요,몇번 더보면 진가를 더 잘알게될텐데
12,12,12,5,woojooi***예매자,2022.06.27,조회 23,공감 0공감하기,실황중계 한 번 해 줬으면,끝나고 나니 더 아쉬운 렛미플라이
13,13,13,5,alrzlvos***예매자,2022.06.27,조회 11,공감 0공감하기,공연 너무 좋았어요,재연이 온다면 꼭 이 배우들 그대로 다 왔으면 좋겠어요
