,index,Rating,Id,Date,views,like,Title,Text
0,0,5,ksr8***예매자,2023.06.07,조회 1,"공감 0
공감하기",맘마미아,뮤지컬 입문자 또는 딱 하나의 뮤지컬만 볼 수 있다면 맘맘미아 무조건 추천 인생 뮤지컬 5월에 보고 재관람으로 6월에 한 번 더 배우 최정원 믿고 보는 뮤지컬입니다
1,1,5,dudghks4***예매자,2023.06.07,조회 9,"공감 0
공감하기",관람후기,재미있게 잘 봄 나중에 다시 기회되면 볼 생각임
2,2,5,wlfbs0***예매자,2023.06.07,조회 13,"공감 0
공감하기",두번째 관람,엄마랑 지난달에 보고 왔는데 정말 신 나고 즐거운 공연이였다고 하셨거든요 그때랑 다른 배우 분들 캐스팅 일 때도 보고 싶다고 하셔서 두 번째 관람 하고 왔습니다 지난번엔 1층 중간쯤이였고 이번엔 2층 앞열이였는데 시야는 둘 다 괜찮아요 아바의 음악이 익숙한 엄마도 그렇지 않은 저도 정말 재밌는 시간 보내고 왔습니다맘마미아는 극 자체도 신나지만 역시 커튼 콜이 최고입니 다
3,3,5,youhung***예매자,2023.06.07,조회 6,"공감 0
공감하기",완벽한 뮤지컬,서울에서 맘 마미아를 관람했는데 배우들의 완벽하고 최선을 다 하는 연기로 사로 잡혀 시간 가는 줄 모르고 관람했습니다 관람 후에 여운이 남아서 행복한 여정으로 서울 일정을 마무리 하게 되어 기쁩니다다음에 기회되면 또 관람하고 싶습니다
4,4,5,happyje***예매자,2023.06.07,조회 11,"공감 0
공감하기",배우들의 진심이 느껴지는 감동의 무대입니다!,정말 오랜만에 아니 처음으로 느껴보는 감동의 무대였습니다 배우들 하나하나가 무대 위에서 진심이더라구 요주연 배우들과 조연 배우들의 적절한 조화도 인상적이였고 배려하는 듯한 무대 매너에 감동이였습니다
5,5,5,forge***예매자,2023.06.07,조회 10,"공감 1
공감하기",뜻 깊었던 하루,딸아이와 간 만에 힐링 시간을 갖게 되어 뜻 깊었던 하루가 된 것 같다 중간 중간에 돌아가신 부모님도 떠 올랐다 나중에 울 딸아이도 나를 떠올리게 되겠지 하는 생각도 들게 만든 뮤지컬이었다 다음에 또 가기로 딸아이와 약속을 하면서 하루를 마무리 하게 되었다
6,6,5,suho1004k***예매자,2023.06.07,조회 10,"공감 0
공감하기",나무 멋진 공연 이었어요.,중학생 딸아이의 버킷 리스트 중 한 가지 오랜만에 서울 나드리에 감동적인 뮤지컬에 하루가 즐겁고 행복했습니다 우리 딸이랑 평생 잊지 못 할 추억 하나가 플러스 되어서 같이 얘기 할 수 있는 스토리가 있어 너무 행복하고 기 뻐요
7,7,5,dj0***예매자,2023.06.06,조회 18,"공감 0
공감하기",진짜 가족이랑 보기 좋은 뮤지컬입니다!!!,진짜 클래식은 영원하다는 말이 딱 맞는 것 같아 요 보면서 다 아는 내용이고 몇 번 봤어도 그 감동은 볼 때마다 다른 것 같아요
8,8,5,pfus***예매자,2023.06.06,조회 28,"공감 0
공감하기","어쩜 모두 잘 할 수 있는지~~
라이브 후기",딸이 좋아해서 어쩔 수 없이 같이 갔는데 내용 뻔히 아는 건데 빠지네요 누구 한 명 특히 더 잘했다 말 못 할 만큼 다들 잘했는데 도나 최정원 배우 나도 모르게 박수치 고 있었어요 앞으로 무조건 찾아보려구요 강추입니다
9,9,4,cookie***예매자,2023.06.06,조회 23,"공감 0
공감하기","신나는 분위기!
라이브 후기",소피와 등장인물들의 밝고 유쾌한 분위기가 좋았어요 중간 중간 살짝 지루하지만 후회하지 않아요
