Unnamed: 0.1,Unnamed: 0,index,Rating,Id,Date,views,like,Title,Text
0,0,0,5,leah1***예매자,2022.12.12,조회 1139,공감 3공감하기,베스트업그레이드된 연기와 탭댄스 빠져듭니다,34년 전 관람하고 재관람으로 선택한 공연인데요 다시 본 저도 만족이지만 함께 간 지인들이 정말 재미있다며 강추 하더라구요 희망적인 메시지에 각 배우들이 찰떡같이 배역을 소화하는 데다 실제 1930년대에 유행했을 만한 쇼 뮤지컬의 모습을 업그레이드해서 보여주는 탭 댄스까지 눈이 호강하는 느낌입니다 제 기억으로는 지난 공연보다 코믹한 대사가 늘어나고 의상과 무대 장치가 세련되진 것 같아요 첫 관람이었던 지인들은 화려한 볼거리와 무대 공연으로 스트레스가 해소되는 기분이었다고 하더군요 오랜만의 뮤지컬 관람으로 좋은 시간 되었습니다
1,1,1,5,a93994***예매자,2023.02.13,조회 18,공감 0공감하기,진짜 화려한 쇼,포스터처럼 무대도 반짝반짝하고 탭댄스가진짜 얼마나 노력했을지가 보이는 무대였습니다
2,2,2,5,nj***예매자,2023.02.12,조회 17,공감 0공감하기,업그레이드 된 42번가,예전엔 별로 안좋했었는데이번거는 무대가 화려하고 신났어요입문작으로 강추입니다
3,3,3,5,gkdud970***예매자,2023.02.10,조회 16,공감 0공감하기,새해첫날,새해첫 공연을 브로드웨이로 시작 너무 재밋엇어요
4,4,4,5,boo***예매자,2023.02.07,조회 29,공감 0공감하기,엄청난 탭댄스와 그들의 노력이 있었다,브로드웨이와 웨사스 중 고민하다가 탭댄스 하나로 브로드웨이를 선택했습니다 평소에 탭댄스를 볼 기회도 없었고 또 관심 있는 분야도 아니었고 잘하면 얼마나 잘하나 하는 심정으로 보러 갔다가 금방 어리석은 생각이라는 것을 알게 되었습니다춤과 노래 그리고 그들의 연기만으로도 충분히 즐기고 올 수 있었고 그 노력이 대단하다고 생각하는데 그들의 화려하고 대단한 탭댄스는 그 노고를 더욱 생각하게 하는 것 같아요 이번 공연 솔직히 기대하지 않은 상태로 봐서 그랬는지 엄청 재밌었고 관객들과의 티키타카가 너무 좋았습니다 오랜만에 또 고3 수험생의 첫 공연으로 선택한 저는 후회 없고 뿌듯하게 보고 왔습니다다음 공연은 제가 성인이면 오게 될 텐데 그때는 정말 여러 번 볼 생각입니다
5,5,5,5,jh8***예매자,2023.02.06,조회 17,공감 0공감하기,이주순 짱,이주순 최고
6,6,6,5,ajtdlTsm***예매자,2023.02.05,조회 14,공감 0공감하기,진짜 짱,탭댄스와 노래 모든것이 잘 어울러졌습니다
7,7,7,5,eunj***예매자,2023.02.05,조회 14,공감 0공감하기,재관람햇어요,남편과 본후 친정엄마 예매드렸어요
8,8,8,3,phili***예매자,2023.02.05,조회 27,공감 0공감하기,뮤지컬 입문작으로 탁월,가벼운 소재 대극장 기준 상대적 저렴한 표값 신나는 탭 향연 눈요기하며 뮤지컬 입문하기 좋아요
9,9,9,5,sm821***예매자,2023.02.04,조회 14,공감 0공감하기,결기 10주년,신랑과 첨으로 뮤지컬 관람 했네요신랑이 너무 신나고 재미있다고 좋아했어요탭댄스 배우고 싶은 마음까지 들었습니다한분한분 정말 대단하신것 같고 너무 멋있어요
10,10,10,5,gowjd0***예매자,2023.02.01,조회 15,공감 0공감하기,차 관람이 가능한 뮤지컬,정말 배우들의 노력과 열정이 느껴지는 뮤지컬너무 신나서 차 관람해도 지겹지 않을듯한 공연입니다
11,11,11,5,aquate***예매자,2023.01.31,조회 19,공감 0공감하기,대학동기들과 봤어요,졸업한지 12년만에 대학동기들과 만나서 공연 봤어요오랜만에 모여서 좋았는데좋은 공연까지 보니까 뜻깊은 시간이 이었습니다배우들 연기도 너무 열정적이고 공연보는 내내 신나고 행복했습니다3명이 보면 할인율도 좋아서 저렴히 티켓을 사서 봤습니다
12,12,12,4,pislov***예매자,2023.01.30,조회 16,공감 0공감하기,눈과 귀가 호강하는,말 그대로 <브로드웨이 42번가>였습니다
13,13,13,5,haley1***예매자,2023.01.30,조회 15,공감 0공감하기,탭댄스가 너무 멋있어요,너무 잘보고 나왔습니다
14,14,14,5,hyemi5***예매자,2023.01.30,조회 11,공감 0공감하기,허어어어어어어어,지방공연보고싶어요
15,15,15,5,leeyj1***예매자,2023.01.30,조회 10,공감 0공감하기,재밌네요,다음에 또 보고싶은 작품이네요 감사합니다
16,17,17,5,rhdqn2***예매자,2023.01.30,조회 10,공감 0공감하기,재밌어요,오슷 대본집 중계 주세요
17,18,18,5,yeunch***예매자,2023.01.26,조회 14,공감 0공감하기,탭댄스의 잔상이 남는 공연,동생의 졸업식 이후 본 뮤지컬인데 자극적인 요소 하나 없이 마음 편하게 볼 수 있었습니다 기회가 된다면 한 번 더 보고 싶은 공연이네요
18,19,19,5,jylb***예매자,2023.01.25,조회 18,공감 0공감하기,연말연시 최고의 스윙댄스 파티,워낙 익숙한 작품이라 이번에는 이 캐스팅으로 어떤 공연을 할까 기대했는데역시 무대예술보다는 댄스 퍼포먼스에 큰 비중을 둔 작품인듯 합니다 스윙팀 기대 이상이었는데 평일 저녁 공연이라 중장년층이 많았는데 다들 옛날 생각 나시는지 들썩하시더만요 가족들과 보기 좋은 연말연시 공연입니다
19,20,20,5,idton***예매자,2023.01.25,조회 16,공감 0공감하기,여러번 봐도 질리지 않네요,지난시즌보고 이번에도 보는데 역시나 재밌네요 역이 앙상블님들 최고
20,21,21,5,wldus6***예매자,2023.01.24,조회 17,공감 0공감하기,갓상블들 최고,진짜 모두가 다 연기도 노래 잘하지만 이 작품의 주인공은 갓상블이라도 생각해요 진짜 현란한 탭댄스 미침
21,22,22,5,jhk2***예매자,2023.01.23,조회 11,공감 0공감하기,나는행복하다,고로존재한다
22,23,23,5,canaria***예매자,2023.01.23,조회 11,공감 0공감하기,다음에 한번 더,군무와 탭댄스다음에 한번 더 제대로 보고 싶어요
23,24,24,5,kwi***예매자,2023.01.23,조회 13,공감 0공감하기,꾸준히 올라오는 공연에는 이유가 있는 법,꾸준히 올라오는 공연에는 이유가 있는 법
24,25,25,5,lhk080***예매자,2023.01.23,조회 10,공감 0공감하기,신나는 탭댄스,정말 피나는 연습을 하셨을것 같아요멋진 무대와 경쾌한 리듬 최고예요
25,26,26,3,junyuj***예매자,2023.01.23,조회 24,공감 0공감하기,쇼뮤지컬,연초 분위기 나고 신나는 극 그러나 머글분들이 많아서 역대극 관크 겪어서 많이 아쉬웠음
26,27,27,5,dlw***예매자,2023.01.23,조회 10,공감 0공감하기,브로드웨이 42번가,신나게 잘 즐기다 왔습니다
27,28,28,5,tndus1***예매자,2023.01.23,조회 10,공감 0공감하기,텝댄스 진짜 짱이에요,완전 황홀 그 잡채 텝댄스 미쳤습니다
28,29,29,5,qkrtjsdu***예매자,2023.01.21,조회 9,공감 0공감하기,탭댄스,출연진들의 호흡과 탭댄스에 푹 빠졌네요부모님도 함께 보는 좋은 시간이었습니다
29,30,30,4,eksqlsm***예매자,2023.01.20,조회 14,공감 0공감하기,눈이 즐거운 공연이었어요,눈이 즐거운 공연이었어요
30,31,31,5,kkkk3***예매자,2023.01.19,조회 18,공감 0공감하기,특별한 날 특별한 시간 민들레 선생님들의 화려한 외출,24명의 민들레 어린이집 선생님들이 2일에 걸쳐 버스를 대절해서 다녀왔습니다배려해 주신 원장님과 좋은 공연을 만들어준 무대관련분들게 감사드립니다교사1입장해서 막이열릴때부터 감동적인 무대가 펼쳐졌어요 너무나 멋진 무대였고 출연자들의 노고가 눈에선했어요 너무 멋졌어요&160; 최고에요교사2평일 저녁에 서울 밤거리도 구경하고 처음으로 본 공연 잊지 못할것 같아요의상도 화려하고 춤도 너무 멋지고 눈을 뗄 수가 없었어요 환호성과 박수가 저도 모르게 나왔어요 선생님과 좋은 공연을 볼 수 있어서 너무 감사했습니다멋진노래와 탭댄스교사3눈으로호강하고 마음도힐링하는시간이었습니다 정중앙에앉아서 공연도잘보이고배우들의멋진연기와탭댄스군무에 감탄과박수가절로나옵니다교사4감탄의 연속이었던 공연이었습니다노력의 시간이 결과로 그리고 박수의 갈채로 하나되던 시간이었습니다무언가 배워보고싶다라고 생각들며 여운이 긴시간이었고 마음의 양식 채울수 있는 힐링의 시간 감사드립니다교사5멋진공연을 보면서 잠시나마 힐링되는 시간이였고 가족과도 함께 보았으면 좋겠다는 생각도들었습니다뮤지컬 볼수있는 기회와 편안하게 갔다올수 있도록 차량지원해주신 이사장님께도 감사합니다  집으로 가면서 탭댄스를 훙내내보았답니다 이참에 탭댄스를 배워야하나  하는 생각까지 살짝들더라구요교사6무엇보다 공연을 보면서 내삶의 동선이 다른 사람들과 겹치지 않게 각자의 위치와 역할을 잘 할때 조화를 이룰 수 있음을 배운 시간이였습니다그러면서 머지 않아 있을 2월 9일 우리 민들레 친구들의 발표회 공연도 기대가 되더라구요
31,33,33,5,1024***예매자,2023.01.18,조회 7,공감 0공감하기,재밌었어요,시간가는줄 모르고 봤네요기회가 된다면 또 보고싶어요
