,index,Rating,Id,Date,views,like,Title,Text
0,0,5,khy101***예매자,2021.07.03,조회 67,"공감 0
공감하기",미친 작품??,배우님들 연기 너무 실감나서 좋았어요
25,25,5,conve***예매자,2021.03.20,조회 19,"공감 0
공감하기",마이클리 배우님 사랑합니다????,마이클리 배우님 너무 멋있어요진짜 기대했는데 기대이상입니다
33,33,5,edward215***예매자,2021.02.24,조회 34,"공감 0
공감하기",꼭 재연 와주라,썸씽로튼 보고 싶어서 질척이는중진짜 인생 뮤지컬 중 하나로 꼽자면 꼽을수 있을정도로모든 배역 좋았구요 진짜 이시국에 올려줘서 너무 감사했어요넘버도 다 좋고 앙상블 조차 좋았다는 꼭 재연 와주라 준다 끝내 
34,34,5,smt***예매자,2021.02.11,조회 16,"공감 0
공감하기",썸씽로튼 이즈 썸씽,뮤지컬이 궁금하다그럼 썸씽로튼 보세요다채롭고 뮤지컬틱하고 아주 혼자 다 합니다
35,35,5,irene***예매자,2021.01.16,조회 25,"공감 0
공감하기",인생 뮤지컬 등극 ??,진짜 짱  인생 뮤지컬 
36,36,5,shinje1***예매자,2021.01.10,조회 19,"공감 0
공감하기",다시 봐도,질리지 않고 진짜 재밌는 뮤우지컬
43,43,5,shinje1***예매자,2021.01.10,조회 6,"공감 0
공감하기",다시봐도,질리지 않고 재밌는 진짜 뮤우지컬
48,48,5,leey***예매자,2021.01.05,조회 8,"공감 0
공감하기",신나고 즐거웠어요,어느 배우도 멋지지 않은 사람이 없었고 역할에 다 몰입하셔서 정말 즐겁고 재밌게 잘 관람했습니다다음엔 친구와 같이 가겠습니다
49,49,5,qwtf3***예매자,2020.12.14,조회 21,"공감 0
공감하기",인생 뮤지컬,제 인생 첫 뮤지컬이였고 최고의 뮤지컬입니다저는 처음에 혼자 보다가 너무 재밌어서 친구에게 추천하고 동생이랑 도 같이 총 3번을 보았는데 보면 볼 수록 더 재밌고 놓쳤던 부분 까지 확실하게 볼수 있어서 좋았어요썸씽로튼의 갓상블 최고였습니다 또 언제 이런 멋진 작품과 배우님들을 볼 수 있을까요 정말 최고였습니다
50,50,5,harrypotter***예매자,2020.12.08,조회 12,"공감 0
공감하기",다시 와주세요...,꼭 다시 보고 싶어요 재연 기다립니다
52,52,4,xoxo3***예매자,2020.12.04,조회 15,"공감 0
공감하기",최고로 유쾌한 오믈릿,이미 이벤트 응모 기간도 끝나고 공연도 끝이 났지만 이 공연만 생각하면 기분이 너무 좋아져 이렇게 후기를 남겨 봅니다개인적으로 준비하고 있는 일이 있어서 좋아하던 공연도 못 보고 자칫하면 썸씽로튼도 못 보고 보낼 뻔 했었는데 함께 준비하는 분들이 흔쾌히 휴식 좀 취하고 오라고 해주셔서 _> 겨우 본 썸로진짜 너무 행복하고 최고의 힐링이었어요 사실 이런 장르의 뮤지컬을 별로 좋아하지 않는 편인데요 좀 지루하더라도 완전 무게 잡는 극을 더 좋아하는데 _ 특정 넘버에서 제가 아는 곡이 나오면 너무 신나고 윌리엄이 나오면 막 앙상블들과 같이 윌 파워 부르고 싶고 진짜 너무 재미있었어요
53,53,5,Minyoongil***,2020.11.26,조회 12,"공감 1
공감하기",정말 보고싶습니다,재연 꼭 해주세요 
54,54,4,iceicei***예매자,2020.11.25,조회 12,"공감 0
공감하기",노래가 맴돌아요,유쾌하고 독특한 무대였습니다노래가 귀에서 자꾸 맴돌아서 공연 후에도 흥얼거리게 되네요
55,55,5,sanri***,2020.11.25,조회 21,"공감 0
공감하기",재연꼭와주세요,진짜 한번보고 완전 푹 빠져서 몇번을봤는지 재연기대할게요완벽한 팀이였습니다
57,57,5,dr1***예매자,2020.11.24,조회 10,"공감 0
공감하기",대존잼,꼭 돌아와쥬세요
59,59,5,eunlee***예매자,2020.11.19,조회 15,"공감 0
공감하기",짱재밌어요,자첫이었는데 금방 끝났어 언제와 빨리 돌아와 마다무스 언제 오는지 예측해주세요
60,60,5,reo0***예매자,2020.11.18,조회 8,"공감 0
공감하기",대 존잼ㅜㅠ,공연 끝난지 꽤 많이 지났지만 아직까지 생각나고 시츠프로브도 계속찾아봐요 정말 정말 너무 재밌는 공연이였습니다또 보고싶네요
61,61,5,alsk2***예매자,2020.11.17,조회 11,"공감 0
공감하기",뮤-우지컬,이건 뮤-우지컬너무 재밌어요셰익스피어 최고
64,64,5,cooc1***예매자,2020.11.16,조회 5,"공감 0
공감하기",뮤-우지컬,다시 도라와 또 볼랴
67,67,5,sohyun***예매자,2020.11.12,조회 9,"공감 0
공감하기",진짜재밌었어요,다음에도 또보고싶어요
68,68,5,limem***예매자,2020.11.09,조회 14,"공감 0
공감하기",다음번에 관람 기대,이번에는 지인만보내서다음번에는 제가 가서 보고싶네요
70,70,5,bigeyesa***예매자,2020.11.04,조회 12,"공감 0
공감하기",대박대박~,맨눈으로 마이클리 공연 직관 요소요소 오리지널 뮤지컬 찾는 재미가 쏠쏠뮤덕이라면 꼭 관람해야함
71,71,5,sychoi***예매자,2020.11.02,조회 10,"공감 0
공감하기",좋았습니다,재밌게봤습니다
