,index,Rating,Id,Date,views,like,Title,Text
0,0,5,joqu***예매자,2019.01.15,조회 1613,"공감 14
공감하기",베스트진짜 또보고싶을정도로 완벽했던 뮤지컬,무대연출도 독특하고 참신해서 맘에들었고배우들의 연기도 완벽해서 더 마음에 들었던 뮤지컬특히 한지상배우님의 애드리브 배우들사이의 호흡 순발력 어느것하나 부족할것 없이 최고였습니다이 공연보기 전까지 공연은 한번씩만 보자고 다짐했던 제마음을 한순간에 돌려버릴정도의 뮤지컬 아직 보지 못하신분들은 꼭 보세요 정말 재미있습니다
1,1,5,id***예매자,2018.12.18,조회 4395,"공감 158
공감하기",베스트무엇하나 빠지는 것 없는 공연이었다!,오랫만에 가족들과 함께 공연을 보고 왔습니다영상을 이용한 무대연출 정말 훌륭했구요유연석 이규형 조합으로 관람했는데이 두분의 뮤지컬은 사실 처음이었더든요정말 브라보 기대 그 이상으로 좋았습니다오랫만에 물개박수 치며 봤어요중간중간 웃을 수 있어서 또 재밌었구요남주 뿐 아니라 여주도 정말 훌륭 하시더라구요그리고 앙상블도 최고 오랫만에 음악 무대 배우 연출 뭐 하나 빠지는 것 없는 공연에 기분 좋은 에너지 받고 왔습니다감사해요
2,2,5,dl_g***예매자,2018.11.28,조회 8099,"공감 41
공감하기",베스트젠틀맨스가이드후기,뮤지컬을 보러 갈 기회가 많지 않았는데 이번에 기회가 돼서 보러 갔는데 기대 이상으로 재미있었어요배우들 연기도 좋았고 노래도 좋았고 아마도 회전문을 돌듯합니다처음에는 유연석 배우님 보러 예매한 거였는데 다른 배우분들 연기력과 가창력에 감탄하고 갔습니다무대매너도 다들 최고셨어요 마지막까지 인사해주셔서 감동이였습니다꼭꼭 다시 보러 갈 수 있었으면 좋겠어요
3,3,5,ekfgus1***예매자,2018.11.13,조회 7867,"공감 57
공감하기",베스트다시 보고싶은 뮤지컬! 젠틀맨스 가이드,대한민국에서 초연인 젠틀맨스 가이드를 어떻게 잘 풀어낼 수 있을까 걱정을 했는데 그런 걱정이 확 사라졌네요뮤지컬이라고 하면 숙연하거나 진지하게만 보는 그런 공연들이 대부분이었는데 그런 편견을 확 깨버리는 뮤지컬이었습니다1인 9역부터 시작해서 웅장한 오케스트라도 좋았고 등장인물과 너무 잘 어울리는 넘버 순간순간 바뀌는 배경들 정신이 없을 줄 알았는데 그런 것도 전혀 없어서 극의 흐름이 아주 좋아 이런 재미있는 뮤지컬을 언제 다시 볼 수 있을까 하는 생각이 들더라고요정말 크게 웃으면서 보았고 다시 볼 수 있는 기회가 생긴다면 꼭 보고 싶습니다
4,4,5,tnduswka***예매자,2019.12.04,조회 45,"공감 0
공감하기",재밌어요~!,첫 뮤지컬로 젠틀맨스가이드를 보게되었는데 너무나도 재미있게 봐서 뮤지컬의 매력에 푹 빠지게 되었어요 오만석 배우님의 애드립이 너무 재미졌어요 
5,5,5,cinem***예매자,2019.05.22,조회 49,"공감 0
공감하기",젠틀맨스가이드,앵콜 공연 또 했으면 좋겠네요이규형 다이스퀴스를 알게된 작품이어서 너무 좋았어요
6,6,5,gogosophy***예매자,2019.05.06,조회 72,"공감 0
공감하기",다이스퀴스!,오조오억개의 매력을 가졌던 한지상 배우님 유연석 배우님도 의외의 가창력에 깜짝 놀랐던 공연이었습니다 가족과 함께 보며 정말 많이 웃고 갔습니다 애드리브도 너무 잘 어울렸던 뮤지컬이었어요
7,7,5,ciel7***예매자,2019.03.31,조회 41,"공감 0
공감하기",너무 재미있어요.,정말 재미있게 봤어요
8,8,5,cys5***예매자,2019.03.29,조회 50,"공감 0
공감하기",웃음보따리,뮤지컬을 좋아하고 많이 봤지만 이런 공연은처음이다작은 소품과 무대장차ㆍ배우들의 익살 연기로 꽉찬 공연을 볼수 있어 넘 재밌고 좋았다스트레스 받을태 강추
9,9,5,ttot***예매자,2019.03.16,조회 44,"공감 0
공감하기",넘나 재밋는~,재관람이지만 여전히 재밋고 유쾌했던 공연이었습니다
