,index,Rating,Id,Date,views,like,Title,Text
0,0,5,bl4***예매자,2020.12.23,조회 96,"공감 0
공감하기",레드북 너무 생각나서 들어왔어요ㅠㅠ,전혀 사전 정보 하나없이 좋아하는 배우님 출연소식만 듣고 예매했었는데 공연 자체에 이렇세 빠져들줄은 몰랐어요정말 최고로 다시 보고싶은 작품 1위입니다
1,1,5,siwon2***예매자,2019.07.31,조회 133,"공감 0
공감하기",??,어쩜 이리 또 보고 싶은지
2,2,5,hyom***예매자,2019.02.21,조회 203,"공감 0
공감하기",최고의 공연!!! 1년이 지나도 생각나는. 유리아 배우님 최고!!,이런 작품이 또 나와주면 정말 행복할 것 같은 제 기준에서 최고였던 공연이었습니다더 비싸고 더 화려한 공연이 많았지만 극과 연기와 노래와 배우의 힘이 정말로 파워풀했던잊혀지지 않는 공연이었어요다시 안하시나요  정말 다시 보고 싶습니다도 사고 싶어요 꼭 발매 해주시면 좋겠습니다
3,3,5,pgy0***,2018.11.14,조회 230,"공감 0
공감하기",나는 나를 말하는 사람 넘버를 듣고,너무너무 좋아서재연 하신다면 꼭 보고싶어요음원도 내주세요
4,4,5,jia7***,2018.09.10,조회 120,"공감 1
공감하기",허순미 배우님 팬입니다.,허순미 배우님 빨래에서 그리고 레드북 나는 나를 말하는 사람 대사 보고 정말 반했습니다 꼭 행복해지길 영원히 응원할게요
5,5,5,rhksdn2***예매자,2018.06.16,조회 128,"공감 1
공감하기",또보고싶어요,돌아와여
6,6,5,yoouji0***예매자,2018.06.04,조회 171,"공감 0
공감하기",재연언제 하나요,저는 결제할 준비를 하고있습니다 재연 꼭와주세요
7,7,5,guswls6***예매자,2018.05.10,조회 146,"공감 0
공감하기",제 인생극,최고에요
8,8,5,***예매자,2018.05.10,조회 116,"공감 1
공감하기",ㅏㅡㄷㄴㄱㅂㅅㅈㅇ,녿너뒥
9,9,5,leio***예매자,2018.05.07,조회 119,"공감 0
공감하기",힐링 뮤지컬,최고의 힐링 뮤지컬
10,10,5,***예매자,2018.05.06,조회 92,"공감 0
공감하기",완벽,숨은 보석을 찾은 느낌입니다 창작뮤지컬에서만 살릴수있는 깨알드립들과 요즘 시대에 맞는 주제의식까지
11,11,4,***예매자,2018.05.02,조회 61,"공감 0
공감하기",구그ㅜ구구구,꿀가나다라마바사아자차카타파하
12,12,5,vars***예매자,2018.04.26,조회 86,"공감 1
공감하기",정말 좋은 극,빨리 또 올라왔으면 좋겠어요
13,13,5,eune6***예매자,2018.04.26,조회 47,"공감 1
공감하기",좋았어요,솔직한 안나를 보면서 속이 후련했어요 너무 좋았습니다
14,14,5,eum0***예매자,2018.04.25,조회 51,"공감 1
공감하기",재미있어요ㅠㅠㅠ,또 돌아왔으면 좋겠네요망설임없이 볼 생각입니다
15,15,4,acd***예매자,2018.04.24,조회 60,"공감 0
공감하기",레드북!,넘버도 좋고 내용도 좋고 공연내내 행복했었습니다
16,16,5,tji0***예매자,2018.04.23,조회 77,"공감 1
공감하기",잊지못할 뮤지컬,보는 내내 아이 뮤지컬 참 똑똑하게 잘 만들었다는 생각이 들었다어디하나 흠잡을 곳이 없고 모든것이 완벽했다기보단 자연스러웠다내용도 연기 음악 등등혼자보기 아까웠던미안했던 뮤지컬 레드북창작 뮤지컬의 새로운 도전과 나에겐 레전드로 남을만한 뮤지컬이였다감사했고 행복했다앵콜을 기대해보다
