,index,Rating,Id,Date,views,like,Title,Text
0,0,5,jed10***예매자,2022.03.01,조회 1009,"공감 4
공감하기",베스트역시 믿고보는 뮤지컬 팬레터!! ㅠㅠ,초연때 부터 너무너무 좋아하고 사랑하던 뮤지컬 팬레터 이번시즌도 정말 감동이고 모든 넘버들과 대사들이 마음속 깊이 남았던것같아요  모두배우님께서 캐릭터의 대한 표현들 모두가 너무 잘표현되고 보면서 정말 감탄했던것같아요 최고 그리고 넘버는 정말  말이 필요없을만큼 완벽 그 자체였던것같아요  배우분들의 정말 멋지고 아름다운 음색에 사르르 녹고 푹 빠져들었던것같아요  팬레터를 보며 해진과 세훈의 마음들이 정말 저의 마음속에 깊이 전해졌던것같아요 자신과 같은 마음을 가지며 서로 이야기할수있는 존재가 있다는것은 정말 그 어떠한 위로보다 더 클것이라는 생각이 들었던것같아요 세훈에게는 해진의 글 한글자 한글자가 힘이 되고 해진에게는 세훈히카루의 글 한글자 한글자가 정말 슬픔의 큰 위로가 되었을 그 마음들이 정말 저에게도 너무 잘 전달되었던것같아요 정말 큰감동을 선물해주셔서 감사합니다 팬레터 최고
1,1,5,th4***예매자,2022.08.01,조회 21,"공감 0
공감하기",좋다... 좋은극이다,좋았다
2,2,5,kj139***예매자,2022.04.19,조회 43,"공감 1
공감하기",언제나 기다려 팬레터 다시 오기를,세미 막공 정말 최고였습니다 팬래터 극 열릴때마다 꼭 볼거예요 진짜 인생극입니다
3,3,5,rgw***예매자,2022.04.18,조회 20,"공감 0
공감하기",팬레터 최고,또 보고싶어요
4,4,5,rmgk***예매자,2022.04.14,조회 22,"공감 0
공감하기",따뜻하고 다정한 팬레터,결국엔 서로를 사랑한 사람들의 따뜻하고 가슴아픈 이야기
5,5,5,kimjm0***예매자,2022.04.13,조회 29,"공감 1
공감하기",팬레터가 가버리다니,너무 슬퍼요 다음에 또 오겠죠그때는 아티움 말고 다른 곳에서 했으면 좋겠습니다
6,6,5,kimjm0***예매자,2022.04.13,조회 20,"공감 0
공감하기",아 역시 명불허전~!,유명한 뮤지컬이라서 봤는데너무 재밌어요강추강추
7,7,5,seojiyoo***예매자,2022.04.11,조회 16,"공감 0
공감하기",갓극,최고입니다 너무좋아요
8,8,5,ht***예매자,2022.04.09,조회 41,"공감 1
공감하기",아직도 여운이 스며 그리운 목소리들,이규형려욱 두분 배우로 2월19일 처음보고 3월19일 두번째 그 외 배우님들 조합으로 1번 총 3회 관람 했고 이미 팬레터가 끝나고 다른 더 큰 규모의 뮤지컬도 2 작품 이상 봤지만내게 계속 여운이 남아 편지의 주인을 나는 사랑하지 않을 수 없다 한결같이 너의 답장을 기다리마 중얼중얼 합니다 다음 팬레터까지 어떻게 기다리죠 22년 3월19일 오후에 마지막 팬레터 이후 계속 답장을 기다립니다 그리운 해진쌤
9,9,5,dduji0***예매자,2022.04.07,조회 22,"공감 0
공감하기",진짜 좋은 작품,처음 봤다가 푹 빠져서  사고그렇게 됐어요 사연 만 목이 빠져라 기다립니다
10,10,4,yejinich***예매자,2022.04.04,조회 33,"공감 0
공감하기",글을 사랑하고 글을 쓰는 사람들의 이야기,억압받는 시대에 글을 쓴다는 건 어떤 의미일까그리고 또 어떤 마음일까그들의 마음과 심정을 감히 내가 상상해볼 수는 없겠지만 극을 보는 내내 잠시나마 그들의 곁에 있고 싶었다
11,11,5,ehdjs***예매자,2022.04.04,조회 51,"공감 0
공감하기",라이브가 라이브한극이긴한데,이렇게 랜덤이벤트할거면 생각좀잘하고 해줬으면
12,12,5,mar***예매자,2022.04.04,조회 18,"공감 0
공감하기",너무 재밌어요,오연 기다리겠습니다
13,13,5,chyu***예매자,2022.04.04,조회 22,"공감 0
공감하기",사랑해요 팬레터,넘버 연기 서사 삼위일체로 너무 재밌는 극
14,14,5,cruel***예매자,2022.04.04,조회 21,"공감 0
공감하기",최고ㅠㅠ,눈물난다 증말 
15,15,5,judy1***예매자,2022.04.04,조회 35,"공감 0
공감하기",김경수 배우님 허혜진 배우님 정말 짱이에요....,두분 다음 팬레터때 또 보고싶습니다꼬옥 다시 와주시길 부탁드리는 바
16,17,5,won5251***예매자,2022.04.04,조회 13,"공감 0
공감하기",최고!!,팬레터 최고예요
17,18,5,youlov***예매자,2022.04.04,조회 24,"공감 0
공감하기",봄이 왔는데,팬레터는 가버렸네요양승리 배우의 특별출연과 과몰입 가능했던 원우준배우님 꽃까지코로나임에도 불구하고 잘 마무리해서 다행입니다4연 사랑했습니다
18,19,5,8402j***예매자,2022.04.04,조회 12,"공감 0
공감하기",좋아요,극장만 아니었으면
19,20,5,mitc***예매자,2022.04.04,조회 16,"공감 0
공감하기",최애 뮤지컬,난생 처음 회전이란걸 돌게 만든 작품
20,21,3,19321***예매자,2022.04.04,조회 42,"공감 0
공감하기",극장이 별로예요,극장이 별로예요
21,22,5,shan***예매자,2022.04.04,조회 23,"공감 1
공감하기",마지막 편지,마지막으로 쓰는 해진선생님의 편지를 함께할 수 있어서 좋았어요만나서 반가웠던 사연이고 다시 만날 수 있기를 바래요관객이시여 슬픔을 아시나이까
22,23,5,naki***예매자,2022.04.04,조회 11,"공감 0
공감하기",추천합니다,정말 너무나도 사랑하는 넘버 해진의 편지를 볼 수 없다니팬레터기 떠난 후 매일 기다립니다 오슷 그리고 딥디
23,24,5,naki***예매자,2022.04.04,조회 14,"공감 0
공감하기",나의 봄을 보낸다,안녕 나의 봄 해진선생님봄이 오는데 선생님은 떠나고 없네요다음에 다시 만나요
24,25,5,aus***예매자,2022.04.03,조회 14,"공감 0
공감하기",끝이라는게 아쉬운 공연,올 겨울은 팬레터 덕에 정말 행복한 기간이었어요 극의 내용 자체가 마냥 행복하다고 할 수는 없겠지만 보는 내내 다른 생각 안하고 오로지 이 극에만 몰입해서 집중해서 볼 수 있어서 참 좋았습니다 5연이 벌써 기다려지는 요즘입니다 빨리 다음 시즌이 왔으면 좋겠어요
25,26,5,dud6***예매자,2022.04.03,조회 8,"공감 0
공감하기",팬레터 너무 좋았어요,팬레터 너무 좋았어요  다음에 또 와주세요 해진쌤 정세훈 히카루 칠인회 쌤들 모두 기다려요  꼭와주세요
26,27,5,arbi***예매자,2022.04.01,조회 21,"공감 0
공감하기",배우들도 좋고 다 좋았네요,배우분들 연기도 좋은데 다만 2층은 어지간하면 추천하진 않는걸로 2층 1열가면 살짝 가리더라구요 음향도 그렇게 좋은거 같진 않고
27,28,5,parkjoohee0***,2022.04.01,조회 21,"공감 0
공감하기",언제와요...,보고싶어요
28,29,5,bhyw***예매자,2022.04.01,조회 10,"공감 0
공감하기",펜레터짱,배우님들 최고예요
29,30,5,parkjoohe0***예매자,2022.03.31,조회 12,"공감 0
공감하기",저는 아직 봄 못보내요,심하게 여운 남는 공연 입니다
30,31,5,parkjoohe0***예매자,2022.03.31,조회 11,"공감 0
공감하기",나의 봄을 이제야 보낸다,사실 못 보냄 저는 팬레터에 갖혀 살아요
31,33,5,parkjoohe0***예매자,2022.03.31,조회 9,"공감 0
공감하기",아 행복해요~,인형이 노래를 해요
32,34,5,astrd***예매자,2022.03.31,조회 10,"공감 0
공감하기",최고의 공연,취소로 급하게 잡은 티켓이지만 2층에서 잘 보고왔습니다
33,35,5,dms9***예매자,2022.03.30,조회 10,"공감 0
공감하기",잘봤습니다.,지방공 기대할게요 
34,36,5,gjaj0***예매자,2022.03.30,조회 11,"공감 0
공감하기",최고의 공연,팬레터 정말  최고였습니다 눈물 바다였어요
35,37,5,gjaj0***예매자,2022.03.30,조회 13,"공감 0
공감하기",역시…팬레터,감동의 연속이었습니다 너무 행복한 공연이었어요 마지막을 함께 할 수 있어서 감사했어요
36,38,5,tjrru***예매자,2022.03.30,조회 11,"공감 0
공감하기",좋았어요,재밌어요
37,39,5,minkun***예매자,2022.03.29,조회 9,"공감 0
공감하기",긋,재밌어요
38,40,5,minkun***예매자,2022.03.29,조회 9,"공감 0
공감하기",굿,너무 재밌어요
39,41,5,joyfulye***예매자,2022.03.29,조회 20,"공감 0
공감하기",슬프고도 아름다운 이야기,아련한 이야기를 아름다운 노래로 풀어낸 작품뮤지컬을 보고난 후에도 한동안 노래들이 머리속에 맴돌았다한글이 아름답다는 걸 다시 한번 깨닫게 해준 뮤지컬이었다
40,42,5,aeeu***예매자,2022.03.29,조회 14,"공감 0
공감하기",지눅막,지눅 세훈 댕댕이 같아요 다른 세훈이 느낄 수 있어서 좋았어요
41,43,5,aeeu***예매자,2022.03.29,조회 12,"공감 0
공감하기",레터짱,뀨막 력막 혠막 철막 밍막 별막 송환 레터 사랑해
42,44,5,dhrtnt***예매자,2022.03.29,조회 9,"공감 0
공감하기",좋은 공연,자주 올라오지만 그래도 또 보고싶은 공연
43,45,5,rosepen2***예매자,2022.03.29,조회 10,"공감 0
공감하기",좋아요,좋아요
44,46,5,qkdrn***예매자,2022.03.28,조회 10,"공감 0
공감하기",재밌어요,끝나서 너무 아쉬워요넘버 너무 좋고 맴돌아서 유투브로 매일 듣고있어요 
45,47,5,kimun0***예매자,2022.03.28,조회 11,"공감 0
공감하기",강력추천합니다,정말 즐거운 시간이였어요강력추천합니다
46,49,5,bom1***예매자,2022.03.28,조회 9,"공감 0
공감하기",언제나 봐도 좋은,모든 넘버의 멜로디 가사 그리고 대사들도 문학적이고 아름다워 볼 때마다 마음이 일렁이는 참 좋아하는 극입니다 원고지 조명도 흩날리는 종이들도 보고 나오면 잔상이 남아서 정말 그림처럼 기억에 남아요 삼연 사연을 함께 해왔고 점점 더 여러 면에서 좋은 방향으로 수정도 되어서 다음 오연은 또 어떻게 찾아올지 기대가 됩니다 모든 배우분들이 좋았고 꼭 다시 만나기를 기다리겠습니다 
47,50,5,parkki***예매자,2022.03.28,조회 10,"공감 0
공감하기",좋아요,정말 너무좋았어요 전개와 전개를 뒷받침하는 연출이 참좋았어요 너무재밌네요
48,51,5,kmj041***예매자,2022.03.28,조회 10,"공감 0
공감하기",솧세훈,또보고싶어요
49,52,5,kmj041***예매자,2022.03.28,조회 12,"공감 0
공감하기",소호세훈,짱
50,53,5,hapistar1***예매자,2022.03.28,조회 13,"공감 0
공감하기",나의 봄을 이제야 보낸다,핫세훈 보고싶다 졸업금지 엉엉
51,54,5,hapistar1***예매자,2022.03.28,조회 9,"공감 0
공감하기",나의 봄을 이제야 보낸다,극장이 먼 것 빼고는 모든 것이 좋았던 팬레터 다시 볼 그 날을 기다립니다
52,55,5,realpimp***예매자,2022.03.28,조회 10,"공감 0
공감하기",정말 좋았어요,오랜만에 계속 기억에 남고 가슴 아릿해지는 작품을 만났다고 생각해요 비록 이번 시즌에는 너무나 늦게 보기 시작한 터라 몇 회 못 본 게 너무나 아쉽지만 차후를 기약하고 싶어지는 그런 매력적인 작품이었으니 또 기대하고 기다리며 설레여 합니다
53,56,5,pinep***예매자,2022.03.28,조회 9,"공감 0
공감하기",세훈아,
54,57,5,judy200***예매자,2022.03.28,조회 10,"공감 0
공감하기",재밌어요,총막 때 본 나 후회해
55,58,4,tears***예매자,2022.03.28,조회 18,"공감 0
공감하기",극장에서 별 한개 뺌,극장이 극의 사이즈에 비해 너무 크고 시야가 좋지 않습니다
56,59,5,cldrnem***예매자,2022.03.28,조회 9,"공감 0
공감하기",최고의 뮤지컬,이제 없다니눈물만 나옴
57,60,5,shiny***예매자,2022.03.28,조회 8,"공감 0
공감하기",강력 추천,끝나버려서 너무 아쉽지만 아티움은 너무 멀고 극장도 별로였지만팬레터 극은 너무 재밌어요
58,61,5,starh***예매자,2022.03.28,조회 9,"공감 0
공감하기",너무 재밌어요,막공을 했다니 믿을 수 없다
59,62,5,rachel08***예매자,2022.03.28,조회 10,"공감 0
공감하기",너무 좋았습니다,팬레터라는 공연이 내리기전에 마지막으로 볼 수 있어서 너무 좋았어요아티움이라는 극장에 수많은 글들로 가득찬 기분이였어요히카루와 세훈이와 해진선생님에 대한 이야기들을 따라가보다면그리고 칠인회 분들도 연기를 너무 잘하시더라고요칼보다 종이에 베이면 더 아프다는 마음도 알게되고 너무 좋았습니다좋은 공연 올려주셔서 감사합니다
60,63,5,web***예매자,2022.03.28,조회 9,"공감 0
공감하기",재밌었어요,같이본 친구도 너무 좋아했어요김경수 배우의 김해진 감동적이었습니다
61,65,5,web***예매자,2022.03.28,조회 11,"공감 0
공감하기",김경수 너무잘해요,다음에도 꼭 해진해주세요
