,index,Rating,Id,Date,views,like,Title,Text
0,0,5,hyjn***예매자,2021.08.02,조회 5129,"공감 150
공감하기",베스트렌 헤드윅!! 새로워요 ^^,초연때부터 헤드윅을 회전문도는 팬으로 여러 헤드윅을 만났었고 이번 헤드윅 티켓팅은 무조건 조언니를 시작으로 하려했으나 역시나 티켓팅에 실패하였고  그냥 기대감 없이 새로운 헤드윅에 렌이라는 이쁜 이름이 있어 우선 새로운 헤드윅을 함 보자싶은 맘에 보고왔어요 근데 자꾸 생각 나는 이건 뭐죠 우선 넘 풋풋하고 뭔가 화가 많지만  러블리하고 귀엽고 아픔슬픔 표현할땐 표현력도 좋구 생각보다 넘버소화력도 좋았고 아직 능숙하진 않지만 처음이라는게 안느껴질정도로 애드립이나 관객과의 소통도 잘하고오히려 능청스럽지 않아 오랜시간 헤드윅을 본 저에겐 신선하게 다가왔나 봅니다  사랑스런 헤드윅이더군요 그리고 아이돌이라더니 춤선이  이쁘네요 첫공에서 2시간 넘는 무대에서 그정도의 장악력을 보여준걸 보면앞으로 헤드윅으로 더 성장하고 발전할 렌씨 기대됩니다다음번에 또 기회가 되면 또 한번 보러 갈께요
1,1,5,wldud9***예매자,2021.12.04,조회 32,"공감 0
공감하기",최고,언제나 그리울거에요
2,2,5,apsu***예매자,2021.11.27,조회 49,"공감 0
공감하기",고드윅,귀가 호강했지요
3,3,5,kjs8***예매자,2021.11.22,조회 25,"공감 0
공감하기",너무 따뜻한 공연이였어요!,너무 따뜻한 공연이였어요
4,4,5,koandso***예매자,2021.11.22,조회 23,"공감 0
공감하기",좋은 공연,잘봤습니다
5,5,5,zxc2***예매자,2021.11.18,조회 21,"공감 0
공감하기",너무 재밌어요,헤드윅 처음인데 재미있었어요
6,6,5,pu***예매자,2021.11.18,조회 89,"공감 0
공감하기",아쉬움이 남던 공연,헤드윅으로 연기하는 배우 본인이 들떠서 인지 호흡이 빠릅니다
7,7,5,kmy***예매자,2021.11.15,조회 87,"공감 3
공감하기",조드윅 막공,위로받고 왔습니다3개월 동안 조드윅의 이야기를 들을 수 있어 행복했어요
8,8,5,chaehui5***예매자,2021.11.15,조회 37,"공감 0
공감하기",갓극,또 올라와주세요정말 재밌고 감동적이고 뭉클했습니다
9,9,5,ghdtnwjd***예매자,2021.11.15,조회 34,"공감 0
공감하기",오드윅,진짜 너무 감동이에요오만석 배우님 정말 헤드윅 그 자체입니다
10,10,5,lovestory***예매자,2021.11.15,조회 24,"공감 0
공감하기",재밌어요,헤드윅 짱
