,index,Rating,Id,Date,views,like,Title,Text
0,0,5,yhes1***예매자,2023.04.11,조회 888,"공감 9
공감하기",베스트에바호프! 행복해야해!,처음 소극장에서 접하게 된 뮤지컬이자 유트브 알고리즘을 통해 알게 된 뮤지컬인데볼까말까 고민하다 때마침 할인기간이라고 팝업이 뜨길래 무언가에 홀린듯 결제해버렸습니다역시나 볼까말까 고민하던 그 고민들이 무색하리만큼 뮤지컬 보고 나온 다음 긴 여운에 사로잡혀판매하는  중 뱃지도 구매해왔어요대학로 극장도 대학로 극장만의 매력이 있더라구요좌석은 2층이였고 한 15열 그쯤이였어요 시야도 좋았습니다뭔가 쏟아질 것 처럼 경사가 좀 있는 것 같은 느낌이였지만무대가 1층에서 보는 것과 같이 배우님들이 되게 가깝게 느껴졌었어요아기자기 하고 조명과 마임등을 통해 짜여진 극의 내용이 너무 좋았습니다뮤지컬 넘버도 잔잔하고 통통 튀는 것 같은 매력도 있구요무엇보다도 배우님들의 연기가 너무 좋았습니다말로 표현할 수 없을 정도로 너무 좋았어요기회가 되신다면 꼭 보러 가셨으면 좋겠습니다에바호프 그녀가앞으로 써내려갈 이야기들앞으로 써나갈 이야기들수고했다충분했다그리고 결국 살아낸 그녀늦지 않게 다시한번 써내려갈 그녀의 이야기들그 이야기들이 궁금해지고응원해주고 싶어졌어요호프 행복해야해
1,1,5,s2cat***예매자,2023.06.04,조회 0,"공감 0
공감하기",재관하고싶은 공연,처음으로 몰입해서 펑펑 울면서 본 공연이에요모든 배우들이 배역을 하나씩 맡아 존재감을 드러내서 좋았어요
2,2,5,sumin_dls***예매자,2023.06.03,조회 20,"공감 0
공감하기",빛나잖아 에바호프!,조형균 배우님 이프덴에서 보고목소리에 꽂혀서 호프도 보러 왔어요성량도 성량인데 역시나 목소리가 좋으세요김수연 배우님은 과거호프 그 자체였어요옆에 분이 기침을 자꾸 하셔서 집중을 못했는데배우님 나올 때마다 몰입할 수 있었어요다윗의 별 부를 때 표정연기만 보고 나왔어요집 가면서 하이라이트 영상 보는데 바닥 조명이 있었네요정말 잘 만든 창작극 주변인들한테 추천하고 다닐 거예요
3,3,5,hermesnik***예매자,2023.06.02,조회 33,"공감 1
공감하기",배우분들의 가창력이 좋은 작품,중소극장 뮤지컬은 처음이었는데 많은 관객들이 들어차서 대극장 못지 않은 열기를 느낄 수 있었네요김선영백형훈홍륜희김수연 배우분 뿐만이 아니라 다른 분들 모두 잘 하시더군요기회가 된다면 다시 한번 더 보고 싶네요  
4,4,5,ffkk0***예매자,2023.06.02,조회 25,"공감 1
공감하기",진짜 집중해서 본 좋은 공연입니다.,3월부터 보고 싶었는데 5월이 되어서 드디어 봤습니다한 마디로 정말 감동적이고 멋진 공연입니다특히 무대에서 퇴장하지도 않고 열연을 펼치는 배우님들 대단한 것 같아요그리고 무대 중간에 박수 하나 없이 잔잔하게 흘러가는 느낌이었지만그 속에는 큰 울림과 감동이 있었습니다행복한 시간이었습니다강추합니다호프보세요
5,5,5,tjdls0***예매자,2023.06.02,조회 22,"공감 1
공감하기",눈물이 찡,작품이 진짜 깊고 인물들 서사가 감동적이에요 공연을 보는데 진하게 쿵 다가오면서 찡해지는 포인트가 몇 번 있는데 저도 모르게 과몰입하게 되더라구요  이렇게 의미있는 작품을 만난게 오랜만이라 너무 좋았습니당 문득문득 생각나는게 또 보러가야 하나 생각중임당
6,6,5,lala8***예매자,2023.06.01,조회 60,"공감 2
공감하기","돈 벌자 ㅎㅎ
라이브 후기",좋아하는 배우들이 나와서 평일이지만 예매했는데 퇴근하고 오면서도 담엔 주말 아니면 예매하지 말아야지 했어요 지금 집으로 돌아가면서 오늘 보길 잘했다고 나한테 칭찬하고 있습니다 모두 잘 하셨어요 특히 이예은 배우님 너무 좋았어요 목소리만 들어도 울컥울컥 했어요 직장 그만두고 싶었는데 다시 기운내서 다니려고요 돈 벌어서 공연보게요 너무 훌륭한 배우분들의 훌륭한 공연 잘 봤습니다 감사드려요
7,7,5,sha5***예매자,2023.06.01,조회 22,"공감 0
공감하기",호프,회차를 거듭할수록 배우님들의 감정이 장난 아니네요 눈물 엄청 흘리고 나왔네요
8,8,5,dusdh1***예매자,2023.05.31,조회 35,"공감 0
공감하기","빛나잖아, 에바 호프",요제프의 미발표 원고에 가려졌다고 생각한 호프의 인생 여기 있던 모든 사람이 기억해 빛났고 빛나잖아 에바 호프
9,9,5,summer8***예매자,2023.05.31,조회 21,"공감 0
공감하기",호프,행복해
