,Rating,Id,Date,views,like,Title,Text
0,4,th4***예매자,2022.08.01,조회 23,공감 0공감하기,배우들 성대자랑하는 극,좋았다
1,5,chjki***예매자,2022.06.27,조회 13,공감 0공감하기,킹아더,너무 신나고 재미있었습니다
2,5,parkjimin***예매자,2022.06.27,조회 14,공감 0공감하기,자꾸 생각나는 공연,왜 킹아더 킹아더 하는지 몰랐었는데 계속 넘버랑 조명이 생각나요 삼연 꼭 와주세요
3,5,kyeongmin***예매자,2022.06.22,조회 13,공감 0공감하기,재밌어요,삼연도 어서 와주길 기다립니다 연장해가지마
4,5,kyeongmin***예매자,2022.06.22,조회 18,공감 0공감하기,재밌어요,넘버도 중독성 강하고 배우분들 연기 너무 좋았어요
5,5,kyeongmin***,2022.06.22,조회 13,공감 0공감하기,재밌어요,재밌습니다
6,5,jtth***예매자,2022.06.20,조회 13,공감 0공감하기,킹아더,갈수록 슬픔이 느껴지네요
7,5,wednesda***예매자,2022.06.20,조회 43,공감 0공감하기,귀했던 조합 공연 ,원근아더 형훈멜레아강 윤랜슬롯 조합 왜이렇게 보기가 힘든가요 전 공연 중 딱 세 번 있는 조합이라꼭꼭 보고싶어서 선거 후 열심히 달려왔습니다회차 더해갈수록 원근아더의 고뇌가 깊어지는게 느껴져서막공에 가까워지는 건 아쉽지만 넘넘 재밌었어용
8,5,kimseoha0***예매자,2022.06.20,조회 10,공감 0공감하기,킹아더,자 이제 웨이컵
9,4,taij***예매자,2022.06.20,조회 12,공감 0공감하기,킹아더 끝,재미있게 잘 봤습니다 신나는 뮤지컬 킹아더
10,5,rlatjgus3***예매자,2022.06.20,조회 9,공감 0공감하기,공연 너무 좋았어요,중독성있는넘버 다음시즌도기대할게요
11,5,pink***예매자,2022.06.20,조회 8,공감 0공감하기,재밌어요,벌써 막공을 했다는게 오슷 기다릴게요 최고쵝
12,5,bookworm1***예매자,2022.06.20,조회 8,공감 0공감하기,킹아더,단차가 정말 심각하네요공연은 즐거웠습니다
13,5,grn***예매자,2022.06.20,조회 14,공감 0공감하기,넘버 중독성이 최고예요,자이제 웨이컵 웨이컵재밌게 봤습니다
14,5,job***예매자,2022.06.20,조회 10,공감 0공감하기,최고된다,고훈정
15,5,kissthemu***예매자,2022.06.17,조회 14,공감 0공감하기,중독성 있는,재밌다
16,5,9402180***예매자,2022.06.16,조회 16,공감 0공감하기,강력한넘버,중독성갑
17,5,9402180***예매자,2022.06.16,조회 13,공감 0공감하기,재밌어요,항상 재밌게 보고있어요
18,5,whyi***예매자,2022.06.14,조회 17,공감 0공감하기,재밌어요,다시 왔으면하고 바랍니다 
19,5,whyi***예매자,2022.06.14,조회 19,공감 0공감하기,,돌아와요 킹아더 
20,5,pau***예매자,2022.06.13,조회 11,공감 0공감하기,수하아이다 아이비암네리스 너무 멋져요,노래 연기 다 좋고 너무 사랑스러운 두 분 덕분에 행복했던 공연글고 엘튼존 진심 천재이신듯
