,Rating,Id,Date,views,like,Title,Text
0,5,wldud9***예매자,2021.12.04,조회 32,공감 0공감하기,최고,언제나 그리울거에요
1,5,apsu***예매자,2021.11.27,조회 49,공감 0공감하기,고드윅,귀가 호강했지요
2,5,kjs8***예매자,2021.11.22,조회 25,공감 0공감하기,너무 따뜻한 공연이였어요,너무 따뜻한 공연이였어요
3,5,koandso***예매자,2021.11.22,조회 23,공감 0공감하기,좋은 공연,잘봤습니다
4,5,zxc2***예매자,2021.11.18,조회 21,공감 0공감하기,너무 재밌어요,헤드윅 처음인데 재미있었어요
5,5,pu***예매자,2021.11.18,조회 89,공감 0공감하기,아쉬움이 남던 공연,헤드윅으로 연기하는 배우 본인이 들떠서 인지 호흡이 빠릅니다
6,5,kmy***예매자,2021.11.15,조회 87,공감 3공감하기,조드윅 막공,위로받고 왔습니다3개월 동안 조드윅의 이야기를 들을 수 있어 행복했어요
7,5,chaehui5***예매자,2021.11.15,조회 37,공감 0공감하기,갓극,또 올라와주세요정말 재밌고 감동적이고 뭉클했습니다
8,5,ghdtnwjd***예매자,2021.11.15,조회 34,공감 0공감하기,오드윅,진짜 너무 감동이에요오만석 배우님 정말 헤드윅 그 자체입니다
9,5,lovestory***예매자,2021.11.15,조회 24,공감 0공감하기,재밌어요,헤드윅 짱
10,4,ww***예매자,2021.11.15,조회 76,공감 0공감하기,조드윅 돌아와줘서 고마워요,사람마다 선호도는 다를 거라고 생각합니다헤드윅은 다른 뮤지컬과는 많이 다른 설명형 뮤지컬입니다정말 티켓 구하기 어렵지만 그래도 운이 좋게 조드윅의 공연을 3번 보게 되었네요조드윅 만이 할 수 있는 공연을 볼 수 있어 좋았습니다다만 아쉬운 게 있다면 조승우 배우님 헤드윅 땜에 목이 너무 많이 상한 것 같아요빨리 회복되어서 더 좋은 모습으로 다시 뵙길 바라며언니 간다
11,5,sh_***예매자,2021.11.15,조회 33,공감 0공감하기,조드윅 말모,2층 극싸라 담에는 꼭 1층으로 가야겠다 다짐했어요조드윅은 말이 필요없이 완벽했고 유리아 배우도 너무 잘해요
12,5,nani7***예매자,2021.11.14,조회 16,공감 0공감하기,재밌어요,헤드윅 최고
13,5,Rroc0***예매자,2021.11.13,조회 58,공감 1공감하기,명불허전 조승우는 조승우다 이영미는 이영미다,와 진짜 어떻게 사람이 연기를 그렇게 하고 그렇게 웃기고 그렇게 해버리시면 저는 어떡하란건지
14,5,wonyeji***예매자,2021.11.12,조회 27,공감 0공감하기,헤드윅 다시 와줘여빨리,고드윅도 와줘여 최고였어요
15,5,kne0***예매자,2021.11.12,조회 26,공감 0공감하기,막공까지 함께할 수 있어서 너무 좋았습니다,힘든 티켓팅을 뚫는 보람이 있는 뮤지컬이었어요
